მეერთისა	Pantokrator
პანდოჰიონ-ი	Herberge, Schenke; Herberge, Schenke
არქედიაკონ-ი	Oberdiakon
დედათდიაკონ-ი	Diakonissin
ჳპოდიაკონ-ი	Rang unter dem Diakon
ბასილიკონ-ი	Schlangenart
პრახტიკონ-ი	Rechnungsbuch
ლიველლონ-ი	Schwurbrief
ლიბანონ-ი	Weihrauch
ნეარონ-ი	Gesetz(esnovelle)
თიატრონ-ი	Theater, Vorstellungsort; Theater, Vorstellungsort
ილეკტრონ-ი	Baumharz; Elektron
ილიკტრონ-ი	Baumharz; Elektron
მიჰრონ-ი	Myrrhe
კჳრიელესონ-ი	Kyrieeleison
კირიელეისონ-ი	Kyrieeleison; Kyrieeleison
ამონატონ-ი	Amiant, Asbest; Amiant, Asbest
კაპატონ-ი	Seite, Blatt, Kapitel; Seite, Blatt, Kapitel
სეკრეტონ-ი	Haus des Erzbischofs
სარდონიტონ-ი	Karneolit
ქსჳსტონ-ი	überdachter Sportplatz
შემეფტონ-ი	farbiges Glas
დიპტჳქონ-ი	Diptychon; Liste der Personen, derer im Gebet gedacht werden soll
პრჳონ-ი	Heerführer
ზმჳრნ-ი	Myrrhe
ჰრაბუნ-ი	Lehrer, Meister; Lehrer, Meister
ტრივუნ-ი	Tribun, Heerführer
უცუნ-ი	eine Pflanze
კაეშნ-ი	Kummer
შჱნ-ი	besiedelt, erbaut; Siedlung
ყჳნ-ი	Stirn
პაპისპაპ-ი	Vorfahre, Urahn
კეიტვეშაპ-ი	Wal
ტოლიპ-ი	Speise aus grünem Gemüse
ღამისმჴმობარ-ი	Nachtrabe
ჰეჯიბთა მთავარ-ი	Obertürwächter
მეოთხედმთავარ-ი	Tetrarchos
მესაპყრობილეთმთავარ-ი	Gefängnisdirektor
მემარნეთმთავარ-ი	oberster Kellermeister
მეფასეთმთავარ-ი	Schatzmeister, Oberschatzwächter
ანგელოზთმთავარ-ი	Erzengel
მტარვალთმთავარ-ი	Oberfolterknecht
შესაკრებელთმთავარ-ი	Oberster einer Synagoge
მღრდელთმთავარ-ი	Bischof; Bischof
მღდელთმთავარ-ი	Bischof
მზარაულთმთავარ-ი	Oberkoch
ტომთმთავარ-ი	Stammesführer
სენაკაპანთმთავარ-ი	Oberwächter am Schlafgemach des Herrschers
საჭურისთმთავარ-ი	Obereunuch
სტრატიოტთმთავარ-ი	Feldherr
მოგუთმთავარ-ი	Oberpriester der Feueranbeter
ნიჭთმთავარ-ი	Finanzminister
ასომთავარ-ი	Großbuchstabe
შესაკრებლისმთავარ-ი	Oberster einer Synagoge
საპყრობილისმთავარ-ი	Gefängnisvorsteher
სოფლისმთავარ-ი	Landesherrscher, Provinzherrscher
ტოჰმისმთავარ-ი	Stammesführer
მერცხლისმდევარ-ი	schwalbenjagender Vogel
ზედამსტოვარ-ი	Späher, Spion; Späher, Spion
ნიშისმსტოვარ-ი	Wahrsager
ძუძუჲსმწოვარ-ი	Säugling
ცხოველთმხატვარ-ი	Lebendmaler
სიტყუამტყუვარ-ი	Lüge
ქრისტემტყუვარ-ი	Pseudochristus
სპათარ-ი	Feldherr
ქოთარ-ი	Haube (dekoratives Element)
ფასკიარ-ი	Verband, Binde
წინაკარ-ი	Vortür, Kirchentür
საკარ-ი	Tor
სიკარ-ი	Dolch
უბნისკარ-ი	Tor der Umfriedung
საკელარ-ი	Verwalter
ხარტოლარ-ი	Archivar
სქოლარ-ი	Angehöriger der Leibwache
ლურსმარ-ი	Nagel
ლუსმარ-ი	Nagel
ტყავისსაქმარ-ი	Ort der Fell- / Lederbearbeitung
ქველისსაქმარ-ი	Wohltätigkeit, Güte
ქუეყანისსაქმარ-ი	Bodenbearbeitung
პურისსაქმარ-ი	Brotbäckerei
ქუაბნარ-ი	höhlenreicher Ort
უღნარ-მაღნარ-ი	dichter Wald
მჴეცნარ-ი	Aufenthaltsort wilder Tiere
ფიჩხნარ-ი	dürres Buschwerk
საძოარ-ი	Weide; Weide
ძუძუჲსმწოარ-ი	Säugling
ცხოარ-ი	Schaf, Vieh; Schaf, Vieh
კელაბტარ-ი	große Wachskerze; große Wachskerze
ნოტარ-ი	Sekretär, Notar
პროტონოტარ-ი	Oberschreiber
მკუარ-ი	Fichte(nholz)
ზედამსტუარ-ი	Späher, Spion
მძღუარ-ი	Führer
სპათმძღუარ-ი	Feldherr
ერისმძღუარ-ი	Fürst, Feldherr
მესაპყრობილეთმოძღუარ-ი	Gefängnisdirektor
მეპურეთმოძღუარ-ი	Bäckermeister
ტრაპეზთმოძღუარ-ი	Tischherr
ნიორაკთმოძღუარ-ი	Anführer der Herolde
განმგებელთმოძღუარ-ი	Oberverwalter
მღდელთმოძღუარ-ი	Bischof, Katholikos, Hoherpriester
მზარაულთმოძღუარ-ი	Oberkoch
ჴელოვანთმოძღუარ-ი	Handwerksmeister
მწიგნობართმოძღუარ-ი	Oberschriftgelehrter
ხუროჲთმოძღუარ-ი	Oberbaumeister
რჩულისმოძღუარ-ი	Gesetzeslehrer; Gesetzeslehrer
შჯულისმოძღუარ-ი	Gesetzeslehrer
ეზოჲსმოძღუარ-ი	Fürst; Verwalter
ქარ-ცუარ-ი	Sturm
უეჭუარ-ი	zweifellos, ohne Zweifel
ცხენისფაფარ-ი	ein Wildkraut
მთავარქონდაქარ-ი	Oberkoch, Hauptkoch
ხაჩეცარ-ი	Anhänger des armenischen Glaubens; Fastenzeit der Armenier
თანამოფიცარ-ი	Mitverschwörer
ხუარბლისვაჭარ-ი	Weizenverkäufer
სათხარ-ი	Spaten
სახარებისაებრ-ი	Evangelien-
ერისთავებრ-ი	Soldaten-, Militär-
მკლველებრ-ი	Mörder-
განმცხრომელებრ-ი	zur Belustigung, zum Spaß
ძაღლებრ-ი	hündisch, Hunde-
სტრატიოტებრ-ი	soldatisch, Soldaten-
პირუტყუებრ-ი	tierisch, wie Nichtsprechende
მეუფებრ-ი	Reich, Königreich
ქალანდრ-ი	Bett
უდაბნოჲსმკჳდრ-ი	Einsiedler, Eremit
თანაბერ-ი	unterster Mönch
ოკდომბერ-ი	Oktober
ნოენბერ-ი	November; November
სამმნათობიერ-ი	Dreifaltigkeit
უმშუმინვიერ-ი	ohne Seele
შჳდთუალიერ-ი	mit sieben Edelsteinen
ჴელცალიერ-ი	mit leeren Händen
წმიდათამიერ-ი	Heiligen-
წერილთამიერ-ი	nach dem Alten Testament
სათნოებისამიერ-ი	Liebes-
სახარებისამიერ-ი	Evangelien-
ჩამორჩობისამიერ-ი	wie das Aufhängen
გულისწყრომისამიერ-ი	im Zorn
თქუენმიერ-ი	euer / Ihr
მოსჱსმიერ-ი	Buch Mose
რქაშუენიერ-ი	mit schönem Geweih
სახელშუენიერ-ი	mit schönem Namen
ღრმიადმეცნიერ-ი	Weiser
შჯულისმეცნიერ-ი	Gesetzeskundiger
წიგნისმეცნიერ-ი	Schriftgelehrter, Vorlesender (in der Liturgie)
სიტყჳსმეცნიერ-ი	redegewandt, Rhetor
დევტელერ-ი	Stellvertreter des Leiters / Bischofs / Abts; Stellvertreter des Leiters / Bischofs / Abts
თანამტერ-ი	Feind
ტანუტერ-ი	Abt, Hausherr eines Klosters
ლეღჳსკუერ-ი	getrocknete Feigen
პარითმემღერ-ი	Tänzer, Sänger
მრავალმგზავრ-ი	häufig Reisender
მჯავრ-ი	Strafe, Recht, Gerechtigkeit; Strafe, Recht, Gerechtigkeit
სკევრ-ი	Truhe
მუდბირ-ი	(Hell)seher, Wahrsager
პანაგირ-ი	Fest-, Marktversammlung
კბოდისპირ-ი	Felsklippe
მზისპირ-ი	sonniger Platz
მთისპირ-ი	Gebirge
ჰორლისპირ-ი	Speerspitze, Lanzenspitze
ისრისპირ-ი	Pfeilspitze
ზღჳსპირ-ი	Meeresküste
სარასირ-ი	Zaunkönig
ნაყშირ-ი	Kohle; Kohle
მამძირ-ი	uneheliches Kind
ნჳკრ-ი	Rotz
მმამრ-ი	Mann, männlich, Männchen
ჰამბორ-ი	Kuß; Kuß
მანდრაგორ-ი	Alraune
მდაბიორ-ი	Landbewohner, Dörfler, von niederem Stand; Landbewohner, Dörfler, von niederem Stand
თანამდაბიორ-ი	Dorfgenosse
იამორ-ი	Gazelle
ფაკტორ-ი	geschehen, getan; Faktor
პროტიკტორ-ი	Aufsicht, Königswächter
სკეპტორ-ი	Wasserreinigungsbecken
სჳნიღორ-ი	Rechtsanwalt
ნასხორ-ი	zu verspottend, Spott
მსხორ-ი	Opfer, Opfergabe
ალამბასტრ-ი	Glasgefäß; Glasgefäß
ტბურ-ი	kleiner See, Teich, Tümpel
მანდრაგურ-ი	Alraune; Alraune
უცხოთსადგურ-ი	Fremdenherberge
ნავისსადგურ-ი	Hafen
ოთხმიზდურ-ი	Tetrarch; Steuereintreiber
მეძვურ-ი	Huren-
თანამდაბიურ-ი	Dorfgenosse; Dorfgenosse
მანდიკურ-ი	Tragbeutel
მესუმურ-ი	Trinker
თასურ-ი	Becher-
შანფურ-ი	Bratspieß
ნაჩქურ-ი	übereilt, hastig, unüberlegt, Geschwätz
სიჩქურ-ი	Täuschung, Dummheit
ღჳძლისყურ-ი	Teil der Leber
ჴელითმსახურ-ი	Diener
მდღევრითმსახურ-ი	Tagelöhner
ეშმაკთმსახურ-ი	Teufelsdiener
ცეცხლისმსახურ-ი	Feueranbeter, Mazdaist
მსტჳრ-ი	Schalmeienbläser
პერიფრას-ი	Periphrase, Ausschmückung
თანამოყუას-ი	Freund
ყულყას-ი	ägyptische Erbse
უთანალმობილეს-ი	größter Anhänger
უჟამიერეს-ი	zur günstigsten Zeit
უმტერეს-ი	überaus starker Feind
მწდეთუხუცეს-ი	oberster Mundschenk
მეგანძურთუხუცეს-ი	Schatzmeister
სჳნიდის-ი	Gewissen
მთავარმამასახლის-ი	Oberabt
ტრიმის-ი	Münze (Drittel eines Aureus)
პროტარხონის-ი	großer Fürst, Großfürst
უკუნის-ი	Ewigkeit
სურწყნის-ი	Monatsname (etwa Februar); Monatsname (etwa Februar)
საჴსენოთშორის-ი	(begrabener) Toter
ეპიტირიტის-ი	Aufseher
პოტირიტის-ი	Vertreter, Stellvertreter
კოხლიოს-ი	Purpurschnecke
სხოლარიოს-ი	Leibwächter des Kaisers
ილლუსტრიოს-ი	Illustrios (byz. Titel)
სხოლასტიკოს-ი	Scholastiker
ფისკოს-ი	Fiskus, Staatsfinanzen
ტიტლოს-ი	Anordnung, Aufschrift
ნოელისიმოს-ი	Nobelissimus (byz. Titel); Nobelissimus (byz. Titel)
ეღომენოს-ი	Abt, Vorsteher
ზემოჲთგანვესკოპოს-ი	Aufseher
ებისკოპოს-ი	Bischof; Bischof
მთავარებისკოპოს-ი	Erzbischof; Erzbischof
თანაეპისკოპოს-ი	Bischofskollege
პირველეპისკოპოს-ი	Erzbischof
ხორეპისკოპოს-ი	Bischof ohne Eparchie
მაგიროს-ი	Koch
სჳნოღოროს-ი	Rechtsanwalt; Rechtsanwalt
ჳპატოს-ი	Hypatos (byz. Titel)
ფჳდერატოს-ი	Bundesgenosse, Söldner
ვიპერბერეტოს-ი	Hyperberetaios (griech. Monatsname, etwa Oktober)
ტოლონტოს-ი	Säule; Säule
აგჳსტოს-ი	August
ფილასოფოს-ი	Philosoph; Philosoph
კიმილირიხოს-ი	Schatzmeister; Schatzmeister
ეპარხოს-ი	Stellvertreter des Königs
ხარტოფილაქს-ი	Bibliothekar
ფინიქს-ი	Phönix; Phönix
პანდოქს-ი	Herbergsleiter
შთახს-ი	Myrrhe(nöl); Myrrhe(nöl)
სტახს-ი	Myrrhe(nöl)
უმთავრჱს-ი	hauptsächlich, Vorgesetzter
ტჳს-ი	dünne Saite
საბატ-ი	Sabbat
ნავატ-ი	Horn
ეპივატ-ი	Seemann
პრივატ-ი	persönliches Eigentum des Kaisers
ავდოკატ-ი	Rechtsanwalt, Advokat
ანთჳპატ-ი	Anthypatos, Stellvertreter des Hypatos (byz. Titel); Anthypatos, Stellvertreter des Hypatos (byz. Titel)
კულაპარატ-ი	Kuropalat; Kuropalat
კალაფატ-ი	Steinbrenner
ლიღატ-ი	Testament, Legat; Testament, Legat
ნახაპეტ-ი	Stammvater, Patriarch, Satrap; Stammvater, Patriarch, Satrap
სპაჲპეტ-ი	Feldherr; Feldherr
მთავარსპაჲპეტ-ი	Oberfeldherr
პალეგავტ-ი	Umhang
აფროდიტ-ი	Venus
იპიტირიტ-ი	Aufseher
პროტოასიკრიტ-ი	Kanzleivorsteher
პრეპოსიტ-ი	Amtsperson
ფაკტ-ი	geschehen, Angelegenheit, Faktum
ასპალანტ-ი	ein Gewürz
ნესუ-ხავარტ-ი	Zuckermelone
არღონაფტ-ი	Argonaut
არღუნაფტ-ი	Argonaut; Argonaut
საჲტ-ი	Krug
პანნაშჳტ-ი	Totenfeier, Totengedenken; Totenfeier, Totengedenken
ბუზუ-ი	Fliege; Fliege
ლომისლეკუ-ი	Löwenjunges
პიტუ-ი	Fichte
ფუშუ-ი	Leistenbruch
უეჭუ-ი	zweifellos, ohne Zweifel
ნაძ-ფიჭუ-ი	Fichte und Kiefer
ინჩაჴუ-ი	Kropf
ჴამლისტეფ-ი	Lederschnürsenkel
ყოვლადნაყოფ-ი	Opfer, Opfergabe
უჟამოჲსნაყოფ-ი	zur Unzeit gekommene Frucht
მთისმყოფ-ი	Gebirgsbewohner
ჳფ-ი	Maß
პატრეაქ-ი	Patriarch; Patriarch
სოფელ-ქალაქ-ი	Stadt und Land
შუვაქალაქ-ი	Stadtmitte
მზისქალაქ-ი	Heliopolis
ტუტაქ-ი	kleiner Papagei
განახეთქ-ი	Riß, Sprung, Spalt
სინოქ-ი	Gefängniszelle
კარნაჰაშ-ი	Träger eines Ehrenabzeichens
ოდიშ-ი	Westgeorgien, Mingrelien
ქსენადოშ-ი	Herberge, Gasthaus; Herberge, Gasthaus
ხორშ-ი-ხორშ-ი	von Leiste zu Leiste
პატიახშ-ი	Provinzstatthalter
ირემ-ვაც-ი	Gemse
საკაც-ი	Trage
კერძოკაც-ი	halber Mann, Eunuch
ჩოდკეც-ი	Umhang; Umhang
ტყავკეც-ი	Muschel
ჩოტკეც-ი	Umhang; Umhang
პაგურეც-ი	Apsinth
ნატკუეც-ი	Trester
მარტოსატყორც-ი	Sprungstab
ქვისსატყორც-ი	Steinschleudervorrichtung
ღორისჴორც-ი	Schweinefleisch
თანახუც-ი	Helfer des Priesters; Helfer des Priesters
ძიძ-ი	Holz(stück)
ბოლოჲთკერძ-ი	Rückseite
ურმისღერძ-ი	Radachse
შკიჭ-ი	Rosinen; Rosinen
მანიჭ-ი	Gerte, Rute
ილენჭ-ი	Falle
ნოჭ-ი	unreife Frucht, unreife Traube
კაბარჭ-ი	Köcher; Köcher
მშჳლდ-კაბარჭ-ი	Bogen und Köcher; Bogen und Köcher
თაფრუჭ-ი	Met; Met
ღჳჭ-ი	Kieselstein; Kieselstein
ანბოხ-ი	Aufruhr, Wirrwarr; Volksmenge; Aufruhr, Wirrwarr; Volksmenge
აქლემვეფხ-ი	Kamelopardalis, Antilope
პატიჯ-ი	Strafe; Strafe
საუნჯ-ი	Schatz, Besitz, Schatzkammer, Scheune
ოროჯ-ი	Lamm
ქურჯ-ი	Faust
კაჰ-ი	Geschirr
ჰურიაება-ჲ	Judentum, Jüdischwerden
ვალალაება-ჲ	Trauern, Klagen
უდბება-ჲ	Faulheit, Untauglichkeit, Bosheit, Nichtigkeit
წინამიგებება-ჲ	Empfang, Begegnung
წინამოგებება-ჲ	Treffen, Begegnung
ურგებება-ჲ	Untauglichkeit, Unbrauchbarkeit
თანამდებება-ჲ	Schuld, Verpflichtung, Pflicht
ლირბება-ჲ	Unverschämtheit
სასჯელის-გება-ჲ	Strafen, Bestrafen
სიტყჳს-გება-ჲ	Antworten, Streiten
წინადაგება-ჲ	Decken, Reichen, Opfern
მიმოქადაგება-ჲ	Verkündigen, Predigen
ჯადაგება-ჲ	Plädieren, Redekunst
სიტყჳს-მიგება-ჲ	Antworten
ნაცვლისმიგება-ჲ	Entgelten, Vergelten
სახისა განგება-ჲ	redliches Leben
წინაგანგება-ჲ	vorheriger Beschluß, vorherige Festlegung
სიტყჳს-მოგება-ჲ	Antworten
ნაცვლისმოგება-ჲ	Ersatz, Gegenleistung
ზღვის-დება-ჲ	Niederstürzen, Schadenerleiden
საზღვრის-დადება-ჲ	Grenzfestlegung
ქუედადება-ჲ	Untenhinlegen
წინაგანმზადება-ჲ	Vorbereitung
წინამომზადება-ჲ	Vorbereitung
ფერად-ფერადება-ჲ	Verschiedenartigkeit
წუადება-ჲ	Räkeln
საკჳრველთმოქმედება-ჲ	Wundertätigkeit
ქველისმოქმედება-ჲ	Barmherzigkeit
კეთილისმოქმედება-ჲ	Wohltätigkeit
სიტყჳსმოქმედება-ჲ	Dichtung, künstlerisches Werk
გარემოსქმედება-ჲ	Ringsummachen
არაწმინდება-ჲ	Unreinheit; Unreinheit
წინადაწინდება-ჲ	Verlobung
ლოდება-ჲ	Warten, Abwarten
უბადრუკ-წოდება-ჲ	Unglücklichnennen
სახელისწოდება-ჲ	Benennen
მენარდება-ჲ	Würfelspiel
ერთღმრთეება-ჲ	Einheit Gottes
მრავალღმრთეება-ჲ	Vielgötterglaube, Polytheismus
შთამოქუეება-ჲ	Herabkommen
მოკუდავება-ჲ	Sterblichkeit
კეთილადშეზავება-ჲ	Schönheit, Güte
ერთშეზავება-ჲ	Vermischtes
მენავება-ჲ	Seefahrt
ღმრთისმოსავება-ჲ	Hoffnung auf Gott
ზეაღფრინვება-ჲ	Auffliegen
თითოვება-ჲ	Besonderheit; Besonderheit
უღმთოვება-ჲ	Ungläubigkeit; Ungläubigkeit
მხოლოვება-ჲ	Alleinsein
სარწმუნოვება-ჲ	Vertrauen, Glauben; Vertrauen, Glauben
სასოვება-ჲ	Hoffnung; Hoffnung
უწესოვება-ჲ	Ungesetzlichkeit, Ungerechtigkeit; Ungesetzlichkeit, Ungerechtigkeit
სიტფოვება-ჲ	Wärme; Wärme
ცრუვება-ჲ	Lügen
წინაგანმართება-ჲ	Versuch, Fleiß
მართლწარმართება-ჲ	richtiges Wandeln
ნოტიება-ჲ	Nässe, Feuchtigkeit
სიტყჳსგამოძიება-ჲ	Wortstreit
მიმოძიება-ჲ	Suchen, Untersuchen
მოპაჰრაკება-ჲ	Nötigung, Zwang, Gewaltanwendung
ტოზიკება-ჲ	Feiern des Bußfestes
უბადრუკება-ჲ	Unglück, Armseligkeit
მომავალება-ჲ	Kommen, Kommenkönnen
ერთბრწყინვალება-ჲ	Einssein im Glanz
მბრწყინვალება-ჲ	Glanz, Glänzen
სიტყუათმბრწყინვალება-ჲ	Redekunst, Rhetorik
მსახრვალება-ჲ	Zauberei
მიმოცვალება-ჲ	Hin- und Herbiegen, Verändern
თანამიმოცვალება-ჲ	Veränderlichkeit
უკუცვალება-ჲ	Umtausch
წრტიალება-ჲ	schrecklicher Schmerz
სულმყრალება-ჲ	Gestank
მრავალმოწყალება-ჲ	große Gnade
მაბრალობლება-ჲ	Beschuldigen; Beschuldigen
მაცილობლება-ჲ	Streit, Widerspenstigkeit; Streit, Widerspenstigkeit
შემადლება-ჲ	Dankbarkeit
მაბრალებელება-ჲ	Beschuldigen
უმსახურებელება-ჲ	Ungläubigkeit
მახლობელება-ჲ	Nähe, Nahestehen
უცნობელება-ჲ	Dummheit, Unverständnis
უცოდველება-ჲ	Sündenlosigkeit, Reinheit
უზრუნველება-ჲ	Sorglosigkeit, Unbesorgtheit
წინადაუცუეთელება-ჲ	Unbeschnittenheit
ძრიელება-ჲ	Stärke, Festigkeit, Heer; Stärke, Festigkeit, Heer
უსწავლელება-ჲ	Ungebildetheit
შუამდგომელება-ჲ	Vermittlung, Versöhnung; Vermittlung, Versöhnung
უპოვნელება-ჲ	Nichtauffinden
უკუანაჲსკნელება-ჲ	Ende, Schluß
უქონელება-ჲ	Armut
უცონელება-ჲ	Fleiß
ურყუნელება-ჲ	Unverwestheit, Unvergänglichkeit
განურყუნელება-ჲ	Reinheit
უხრწნელება-ჲ	Unverdorbenheit
თანამეტყუელება-ჲ	Bestätigen, Bekräftigen
ცუდადმეტყუელება-ჲ	unsinniges Reden
მალიადმეტყუელება-ჲ	schnelles Sprechen
ტკბილადმეტყუელება-ჲ	Schmeichelei
მრავალმეტყუელება-ჲ	Geschwätz, Gerede
მართლგამომეტყუელება-ჲ	Erklärung
წინაწარმეტყუელება-ჲ	Prophezeiung
პირმეტყუელება-ჲ	Sprechen, Sprechfähigkeit
ცუდისმეტყუელება-ჲ	unsinniges Reden
მდაბლისმეტყუელება-ჲ	bescheidenes Reden
ქველისმეტყუელება-ჲ	wohlwollendes Reden, Predigen zur Güte
ძჳრისმეტყუელება-ჲ	Lästern
გულწრფელება-ჲ	Offenherzigkeit, Aufrichtigkeit
მჴევლება-ჲ	Dienst als Dienerin / Magd / Sklavin
ცხოვლება-ჲ	Leben; Leben
შეწყობილება-ჲ	Anpassung, Harmonie
მხოლოდშობილება-ჲ	Besitz nur eines Sohnes
განგრძობილება-ჲ	Fortsetzung, Verlängerung
განბჭობილება-ჲ	Urteil
ბორგილება-ჲ	Wahnsinn; Irrtum
განცდილება-ჲ	Sehen, Betrachten, Untersuchen
ვლტოლვილება-ჲ	Flucht
ოქროგანრჩულვილება-ჲ	Goldbeschlag, Goldüberzug
განკუთნვილება-ჲ	Eigenschaft
დათრგუნვილება-ჲ	Zerstampfen
დამუსრვილება-ჲ	Zerstören, Zerschlagen, Zerrütten
ჭურვილება-ჲ	Bewaffnung, Rüstung, Ausrüstung
ორგანკუეთილება-ჲ	Zweiteilen
წინადაცუეთილება-ჲ	Beschneidung
წინადაუცუეთილება-ჲ	Unbeschnittenheit
წურთილება-ჲ	Abrichten, Unterrichten
მართლწურთილება-ჲ	Wahrheitslehre
ქუედადრეკილება-ჲ	Gebeugtheit
ღრეკილება-ჲ	Gekrümmtheit, Gebeugtheit
შედგომილება-ჲ	Folgen, Begleiten
წარმოდგომილება-ჲ	Kommen, Herbringen
შთავრდომილება-ჲ	Hineinfallen
განვრდომილება-ჲ	Davonstürzen, Sichentfernen
შთამოვრდომილება-ჲ	Herabfallen
გონებაცთომილება-ჲ	Wahnsinn, Dummheit
მოცთომილება-ჲ	Fehler
შრომილება-ჲ	Arbeit, Mühe
ჴუედნილება-ჲ	Geschimpfe, Vorwurf
გარდაფენილება-ჲ	überdecken, Entfalten
პოვნილება-ჲ	Habe, Besitz
თხზნილება-ჲ	Zopf; List
უდებქმნილება-ჲ	Faulheit, Mißachtung
სულმოკლექმნილება-ჲ	Nachlassen, ängstlichsein, Enttäuschung
უსჯულოქმნილება-ჲ	Unanständigkeit, Schlechtigkeit
მოქმნილება-ჲ	Schmücken, Verzieren
წმასნილება-ჲ	Lüge, Heimtücke
დაჴსნილება-ჲ	Auflösen, Zerstören, Gelähmtwerden, Zügellosigkeit
განრყუნილება-ჲ	Verderben
განხრწნილება-ჲ	Verderben; Verderben
განჴრწნილება-ჲ	Verderben
წიგნ-წერილება-ჲ	Schreiben, Geschriebenes
განჭრილება-ჲ	Teilen, Trennen
განგლესილება-ჲ	Verputzen, Färben; Glänzen
მრავალგანყოფილება-ჲ	Trennung, Spaltung, Unterschiedlichkeit
მიმოგანყოფილება-ჲ	Getrenntheit
სათნოყოფილება-ჲ	Gefallen
ბერწყოფილება-ჲ	frühere Kinderlosigkeit / Unfruchtbarkeit
უძილება-ჲ	Wachsein
განტეხილება-ჲ	Brechen, Zerbrechen, Zerschlagen
მართლმხილება-ჲ	berechtigtes Bezichtigen, berechtigte Anschuldigung
დასჯილება-ჲ	Bestrafung
დაშჯილება-ჲ	Strafe, Bestrafung
ჴაჴილება-ჲ	Kratzen
გულისკლება-ჲ	Verdrossenheit, Kränkung
სასუმლება-ჲ	Adoption, Behandlung als Nahestehenden
თანამსრბოლება-ჲ	Mitreisen
დაბკოლება-ჲ	Irren; Stören; Verführen
დაპკოლება-ჲ	Irren; Stören; Verführen; Irren; Stören; Verführen
თანამბრძოლება-ჲ	Beistehen im Kampf
წინამბრძოლება-ჲ	Führung
მძლავრმბრძოლება-ჲ	harter Kampf
ღმრთისმბრძოლება-ჲ	Kampf gegen Gott, Häresie
სასწაულება-ჲ	Zeichen, Wunder
დაგებულება-ჲ	Machen, Bereiten, Schmücken
ქადაგებულება-ჲ	Predigt, Predigen
წინაგანგებულება-ჲ	vorheriger Beschluß, vorherige Festlegung
კეთილადგანგებულება-ჲ	gute Ordnung, gute Verwaltung
შემზადებულება-ჲ	Vorbereitung, Bereitsein, Bereithaltung
განმზადებულება-ჲ	Vorbereiung, Besitz, Schmuck; Plan
განცხადებულება-ჲ	Offenbaren, Erscheinen, Klarheit
განგდებულება-ჲ	Hinauswerfen, Entfernen
კეთილდიდებულება-ჲ	Großartigkeit
სახელდებულება-ჲ	Benennung, Namensgebung
შეცოდებულება-ჲ	Sündigkeit
დამჟავებულება-ჲ	Sauersein
განბრწყინვებულება-ჲ	Glanz
განქარვებულება-ჲ	Verstreuen, Zerstörung
შეცვალებულება-ჲ	Veränderung, Veränderlichkeit
სახისცვალებულება-ჲ	ändern, Verändern
განწვალებულება-ჲ	Teilung, Trennung
დაბნელებულება-ჲ	Finsternis, Dunkel; Sündigen
დაძუელებულება-ჲ	Altern
მხილებულება-ჲ	Aufdecken
დაკლებულება-ჲ	Verringerung, Mangel; Verdruß, Schmerz
უფლებულება-ჲ	Herrschaft, Recht
განახლებულება-ჲ	Erneuerung
ცნობავნებულება-ჲ	Verrücktheit
მრავალვნებულება-ჲ	große Not
მიმჴცოვნებულება-ჲ	Alter
მოვლინებულება-ჲ	Hersenden
გამოჩინებულება-ჲ	Erscheinen
წარჩინებულება-ჲ	Erlesenheit, Hochadel
ქორწინებულება-ჲ	Heirat
განკანონებულება-ჲ	Verurteilung; Festlegung
შჱნებულება-ჲ	Gebäude, Bauwerk
დამყარებულება-ჲ	Gründung, Festigen
მომედგრებულება-ჲ	Faulheit
მიმძლავრებულება-ჲ	Unterdrückung
შემოკრებულება-ჲ	Versammeln, Versammlung
განშორებულება-ჲ	Entfernen
მსახურებულება-ჲ	Dienst
წარმატებულება-ჲ	Erfolg
განმარტებულება-ჲ	Richtigkeit, Wahrhaftigkeit
ჴუებულება-ჲ	Fehlen, Abnehmen, Vermindern, Mangel
განკაფებულება-ჲ	Abnutzung, Verschleiß
განცოფებულება-ჲ	Torheit, Verrücktheit
განლაღებულება-ჲ	Frechheit, Dreistheit
ნათელღებულება-ჲ	Taufe
განღებულება-ჲ	Hinausschaffen; öffnen
შემტკიცებულება-ჲ	Befestigung, Verbindung, Festigkeit, Bestätigung
მომრგულება-ჲ	Rundheit
მოქადულება-ჲ	Prahlen, Drohen, Rühmen
წარწყმედულება-ჲ	Zugrundegehen, Verlieren
სყიდულება-ჲ	Kaufbrief
სდულება-ჲ	Sammeln, Ernten
თითოვეულება-ჲ	Alleinsein; Eigenschaft
ჭირვეულება-ჲ	Not, Elend, Armut
ეშმაკეულება-ჲ	Teuflischkeit, Besessenheit, Mondsüchtigkeit
მრჩობლეშმაკეულება-ჲ	große Teufelei / Heimtücke
ბრალეულება-ჲ	Vergehen, Verbrechen
სახლეულება-ჲ	Familienleben, gemeinsames Leben
მიმოდაბნეულება-ჲ	Zerstreutheit, Geistesabwesenheit
მიმოგანბნეულება-ჲ	Verstreuen
შიშნეულება-ჲ	Furchtsamkeit, Zurückhaltung
თითოეულება-ჲ	Alleinsein; Eigenschaft
განრღუეულება-ჲ	Zerrütten, Zerstören
ჰავჩუეულება-ჲ	Bosheit
შერყეულება-ჲ	Beben, Erschütterung, Absetzung
ჭურრჩეულება-ჲ	Reichtum
გარდაქცეულება-ჲ	Verführung
მროწეულება-ჲ	Herde; Vielzahl
