მეერთისა	Pantokrator
ტყუვილ-ი	Lüge, Lügen
მრავალშვილ-ი	kinderreich
შვილისშვილ-ი	Enkelkind
შეჭმუხვილ-ი	betrübt
რუჯვილ-ი	geröstet
დარუჯვილ-ი	versengt
შჳვილ-ი	Lärm, Getöse
ტაბლაკეთილ-ი	freigebig
სასოკეთილ-ი	hoffnungsvoll
წინადაკუეთილ-ი	verschnitten
დრეკილ-ი	gebogen, gebeugt, gekrümmt
მიმოდრეკილ-ი	hin- und hergebogen, krumm
შეღრეკილ-ი	gebogen, gekrümmt
მოღრეკილ-ი	gebeugt
ჴელთბორკილ-ი	Handfesseln
გამომარგლილ-ი	ausgejätet
ვლტოლილ-ი	geflohen
მიმოდავლტოლილ-ი	verstreut, geflohen
მივლტოლილ-ი	geflohen
ყოლილ-ი	habend, besitzend
თანაყოლილ-ი	folgend, Anhänger
თანამიყოლილ-ი	folgend
ღუწოლილ-ი	fürsorgend, gemüht, verdient, verdienstvoll
შთადგომილ-ი	hinabgestellt, hineingestellt
შედგომილ-ი	folgend, begleitend
წარმოდგომილ-ი	aufgestanden, gekommen
წარდგომილ-ი	hingegangen, vorgestellt
დადრგომილ-ი	stehengeblieben, haltgemacht; stehengeblieben, haltgemacht
შევდომილ-ი	hineingeworfen, hineingestürzt; hineingeworfen, hineingestürzt
დარდომილ-ი	niedergefallen, hinfällig, siech, übriggeblieben; niedergefallen, hinfällig, siech, übriggeblieben
შთავრდომილ-ი	hineingefallen
გარდამოვრდომილ-ი	heruntergefallen
შემოვრდომილ-ი	drinnen Obdach gefunden, hineingeraten
წარმოვრდომილ-ი	geschehen, gemacht
მირდომილ-ი	gestürzt, niedergefallen
თანადახუდომილ-ი	anwesend, antreffend
შეწყდომილ-ი	hineingezwängt, eingeschlossen; hineingezwängt, eingeschlossen
ჯდომილ-ი	gesetzt, sitzend, niedergelassen
წარმოჯდომილ-ი	aufgesetzt
მოჴდომილ-ი	gekommen, überfallen
გარდამოჴდომილ-ი	herübergekommen, herabgekommen
გარდაცთომილ-ი	verführt
ფერჴჩაცთომილ-ი	mit dem Fuß eingebrochen / eingesunken / hinabgestürzt
მოცთომილ-ი	geirrt, gefehlt
დადნომილ-ი	ausgezehrt, geschwächt
ზედდადგრომილ-ი	Aufseher
უკურჩომილ-ი	zurückgeblieben
სიყრმილ-ი	Hunger; Hunger
სიყუმილ-ი	Hunger; Hunger
ტკებნილ-ი	festgestampft
დატკებნილ-ი	gestampft
წარგრაგნილ-ი	umwickelt, gerollt
საცოდნილ-ი	zu lernend
მობლარდნილ-ი	umhüllt, eingewickelt
მიყრდნილ-ი	angelehnt, gestützt
მისმენილ-ი	erfahren, bemerkt
მრავალგანსმენილ-ი	berühmt
ნათელგარდაფენილ-ი	lichtbeschienen
ყუავილგარდაფენილ-ი	erblüht, blumenbedeckt, angenehm
რტოგარდაფენილ-ი	weitverzweigt
წინაგანფენილ-ი	gestellt, aufgestellt, gedeckt
მიმოგანფენილ-ი	verbreitet
ზედმოფენილ-ი	ausgebreitet
მარმარინოფენილ-ი	mit Marmor ausgelegt / belegt
წყენილ-ი	betrübt, überdrüssig
უკურჩენილ-ი	übriggeblieben, Gewinn
წარმგზავნილ-ი	weggeschickt
წარდევნილ-ი	vertrieben, verjagt
დატევნილ-ი	hineingepaßt
ძოვნილ-ი	betreut, behütet
წოვნილ-ი	gesäugt, aufgezogen
შეთხზნილ-ი	miteinander verflochten
ზღლარკნილ-ი	geschlängelt, gewunden
ახალთარგმნილ-ი	neu übersetzt
გამოთარგმნილ-ი	übersetzt, übertragen; übersetzt, übertragen
მძლექმნილ-ი	siegreich
გულსავსექმნილ-ი	überzeugt
პირველშექმნილ-ი	zuallererst geschaffen; zuallererst geschaffen
შემწექმნილ-ი	helfend, unterstützend
მეძავქმნილ-ი	Hure
გულმწყრალქმნილ-ი	erzürnt
ობოლქმნილ-ი	verwaist; verwaist
ამოქმნილ-ი	aufgebaut, emporgebaut
აღმოქმნილ-ი	gemacht, getan
ხუროქმნილ-ი	der Zimmermann geworden ist
ნახევარქმნილ-ი	halb getan
უვარქმნილ-ი	verneint
წადიერქმნილ-ი	wünschend
შვილიერქმნილ-ი	Kinder habend
უშუერქმნილ-ი	häßlich anzusehend, schändlich
ყამირქმნილ-ი	verwildertes Feld
მსახურქმნილ-ი	verwendet, gebraucht, benutzt
მოყუასქმნილ-ი	befreundet
საეჭუქმნილ-ი	strittig
მამაცქმნილ-ი	manngeworden
გარდაწონილ-ი	gebogen
გესლგანწონილ-ი	vergiftet
მუცელჴსნილ-ი	Durchfall habend
სანდალგანჴსნილ-ი	mit offenem Schuhwerk
შებრატნილ-ი	eingewickelt
მოგუნილ-ი	verführt, verleitet
მოგულარძნილ-ი	gewunden
ხრწნილ-ი	verdorben; verdorben
ჴრწნილ-ი	verdorben
დაცოხნილ-ი	wiedergekäut
მოქსოილ-ი	gewebt
მითხოილ-ი	verheiratet, verlobt; verheiratet, verlobt
ტყავგანბერილ-ი	angeschwollen
გუმერილ-ი	verwundet
ზედადაწერილ-ი	Inschrift
ზედაწერილ-ი	Inschrift, Aufschrift
გარეშეწერილ-ი	umgeben
ზემოწერილ-ი	oben geschrieben
გარეშემოწერილ-ი	umgrenzt, eingegrenzt
გარემოჲსწერილ-ი	rundherum geschrieben
მოტირილ-ი	Weinen
თმაწურილ-ი	dünnhaarig
თითწურილ-ი	dünnfingerig
მოფხურილ-ი	abgerissen, weggefetzt
ძირფხურილ-ი	herausgerissen, entwurzelt
ფურცელდაყრილ-ი	mit abgefallenen Blättern
მარილყრილ-ი	salzbestreut
გარდაჭრილ-ი	abgestürzt, zerschmettert
მიმოგანჭრილ-ი	geschnitten, zerschnitten, zerplatzt
ქუეთხრილ-ი	eingegraben
ცხორებაშემოსილ-ი	lebend, errettet
ფურცელშემოსილ-ი	belaubt
ჯუარშემოსილ-ი	tiefgläubig
ვეცხლითმოსილ-ი	silberbeschlagen
ოქროჲთმოსილ-ი	vergoldet, goldbeschlagen
მწყსილ-ი	Gemeinde
ხუეტილ-ი	abgeschabt, abgekratzt
წენტილ-ი	Punkt; Punkt
მუილ-ი	Gebrüll; Gebrüll
შეტყუილ-ი	lügen, Lüge; lügen, Lüge
ჩრჩუილ-ი	sehr klein, weich, neugeboren; sehr klein, weich, neugeboren
ქადაგყოფილ-ი	ehemaliger Prediger
მჭკუერველყოფილ-ი	ehemaliger Dieb
ქველყოფილ-ი	gut gemacht, gütig
მტერყოფილ-ი	zum Feind geworden
ბერწყოფილ-ი	früher / ehemals unfruchtbar
წყალტფილ-ი	warmes Wasser
ნელტფილ-ი	lauwarm
დარეცილ-ი	ausgebreitet, ausgestreckt
წინამიკუეცილ-ი	mit geschorenem Haar
წინამოკუეცილ-ი	beschnitten
საძილ-ი	Schlaf-
მორეწილ-ი	erworben, gekauft
მიხუეჭილ-ი	geraubt, unterdrückt
ზურგტეხილ-ი	mit verletztem Rückgrat
ზურგგანტეხილ-ი	mit gebrochenem Rückgrat
ნავგანტეხილ-ი	Schiffbrüchiger
ზარტეხილ-ი	verängstigt
უკუტეხილ-ი	zurückgebogen
ღელვააღტეხილ-ი	aufgewühlt, erregt
მკჳრცხილ-ი	zu Fuß (gehend); zu Fuß (gehend); zu Fuß (gehend); zu Fuß (gehend); rasch, schnell, tüchtig, lebendig, kräftig; rasch, schnell, tüchtig, lebendig, kräftig
დაშჯილ-ი	bestraft, gerichtet; bestraft, gerichtet
წინადაშჯილ-ი	vorbestraft
მწყერმარჴილ-ი	Wachtel
მყუდოლ-ი	Wächter, Beschützer
ფაკეოლ-ი	Kopftuch, Faziale; Kopftuch, Faziale
კრასოვოლ-ი	Becher; Becher
ჰოლოლ-ი	Uhu, Eule, Kauz
კლდისსასროლ-ი	Steingeschoß
სამტოლ-ი	eine Art Kraut
სადევისმყოლ-ი	abgerichtet, dressiert
ძმისცოლ-ი	Schwägerin
ქმრისცოლ-ი	verheiratet
ძისცოლ-ი	Schwiegertochter
ბრძოლ-ი	kämpfend, Kämpfer
წინასაბრძოლ-ი	Festung
ზღუდისსაბრძოლ-ი	Vorrichtung zur Mauerzerstörung
ქუეითმბრძოლ-ი	Fußsoldat
უღელთმბრძოლ-ი	sich gegen das Joch sträubend
ჭურვილმბრძოლ-ი	bewaffneter Kämpfer
ქუემწოლ-ი	gelähmt
საფრთხოლ-ი	Angst machend
მრავალთესლ-ი	viele Stämme / Völker
თანამოთაულ-ი	teilnehmend
ჰურიაულ-ი	jüdisch, jüdischen Glaubens
მკრდისსამკაულ-ი	Brustschmuck
მთავარმზარაულ-ი	Oberkoch
კერძოდღესასწაულ-ი	ein Teil der Feiertage
კასტაბულ-ი	ein Maß
მწუბებულ-ი	besudelt, beschmiert
წინადაგებულ-ი	gedeckt, gereicht, geopfert
ტაბასტაკდაგებულ-ი	Tafeldecker
ოქროწახნაგებულ-ი	mit Goldkante
სიტყუაგებულ-ი	Antwort
წინაგანგებულ-ი	vorher beschlossen / festgelegt
ახალმოგებულ-ი	neuerworben
შებორგებულ-ი	gefehlt, geirrt
პირველდაბადებულ-ი	erstgeboren
ზედადადებულ-ი	von oben daraufgelegt
წინაგანმზადებულ-ი	vorbereitet
უკუნგდებულ-ი	weggeworfen
ჴელთდებულ-ი	beschenkt, verpflichtet, beauftragt, gefangen
წინაჲსწარშეცოდებულ-ი	früher in Sünde gefallen
კეთილადშეზავებულ-ი	prächtig, gütig
თხლეშეზავებულ-ი	mit Bodensatz vom Wein vermischt; schlecht
სულშეზავებულ-ი	vom hl. Geist ergriffen
თანაგანზავებულ-ი	vermischt
ჰაერგანზავებულ-ი	klimatisch gemäßigt
შესოლვებულ-ი	naß gemacht; naß gemacht
შეჭმუნვებულ-ი	belästigt, betrübt
ფშჳნვებულ-ი	aufgeatmet
განუცხოვებულ-ი	entfremdet, abgefallen
მოგარვებულ-ი	rings umgeben, umzäunt
შთაგორვებულ-ი	hinabgerollt
შთამოგორვებულ-ი	herabgerollt
წარმოგორვებულ-ი	herausgerollt, herabgerollt
განცრუვებულ-ი	verurteilt
სიძვებულ-ი	Huren-
ბელზებულ-ი	Satan, Teufel
ბერზებულ-ი	Satan, Teufel; Satan, Teufel
მართლწარმართებულ-ი	richtig gehend
თანაშეერთებულ-ი	passend, dazugehörig
მიმოცვალებულ-ი	veränderlich, beweglich
ფერცვალებულ-ი	verklärt
მიმოგანწვალებულ-ი	geteilt, getrennt
მოწრფელებულ-ი	begradigt
შეწულილებულ-ი	verkleinert, dünn geworden, betrübt
განგესლებულ-ი	vergiftet
მომრგულებულ-ი	rund, gerundet
მართლაღსრულებულ-ი	richtig vollendet
შეოფლებულ-ი	in Schweiß gebadet
მასპინძლებულ-ი	bewirtet
უზმებულ-ი	hungrig
ყვანებულ-ი	weggeschafft
თანამიყვანებულ-ი	hingebracht
სიზმრისზმანებულ-ი	träumend
წინაწარძღუანებულ-ი	vorausgeschickt
კეთილადჴსენებულ-ი	seligen Andenkens
პირველმოჴსენებულ-ი	früher erwähnt
არმოჴსენებულ-ი	nicht erwähnbar, nicht zu gedenken
პირველაღმოცენებულ-ი	Sproß, Trieb
ცნობავნებულ-ი	verrückt
წინავნებულ-ი	früher erkrankt
მრავალვნებულ-ი	in äußerster Not
ახალმოპოვნებულ-ი	neu eingeführt
წამოცჳვნებულ-ი	herausgefallen
სასყიდლითდადგინებულ-ი	eingestellt, gedungen
წინაგანჩინებულ-ი	im voraus festgelegt
წინაგამოჩინებულ-ი	im voraus erschienen
ზედადაძინებულ-ი	hinzugefügt, vermehrt
პირველდაძინებულ-ი	früh verstorben
წინამოგონებულ-ი	vorbedacht
წინაქონებულ-ი	früher besitzend
მუცელსქონებულ-ი	Embryo
შვილმოწონებულ-ი	eine angemessene Zahl Kinder habend
ხარჭოსნებულ-ი	Nebenfrau
შემონაზუნებულ-ი	zum Mönch geworden
დაფურძნებულ-ი	gegründet, begründet, befestigt; gegründet, begründet, befestigt
შჱნებულ-ი	erbaut, gebaut
შერცხჳნებულ-ი	beschämt
კუართდაპებულ-ი	mit zerrissener Kleidung
სამოსელდაპებულ-ი	mit zerrissener Kleidung
მრჩობლგანპებულ-ი	zweigespalten
თანაზიარებულ-ი	teilnehmend, verbündet
შემტკნარებულ-ი	geronnen
კეთილდაწყნარებულ-ი	still, friedlich
ღმრთივდამყარებულ-ი	von Gott bestätigt
თანადამკჳდრებულ-ი	Gatte, Gattin
მოცალიერებულ-ი	geleert
მიმგზავრებულ-ი	hingegangen, erreicht
შესაზღვრებულ-ი	umgrenzt, eingegrenzt
ღმრთივშეკრებულ-ი	von Gott gesammelt
განბოკრებულ-ი	aussätzig, leprakrank; aussätzig, leprakrank
ზეაღმოკრებულ-ი	herausgenommen, heraufgenommen
თანაცხორებულ-ი	zusammenlebend
მართლცხორებულ-ი	ordentlich / anständig lebend
მყოვარცხორებულ-ი	lang lebend, langlebig
მობადურებულ-ი	gefangen, auf seine Seite gezogen
კეთილწესებულ-ი	geordnet, ordentlich
ერადგანწესებულ-ი	Soldat
გამოტორონტოსებულ-ი	herausgeschnitzt, herausgemeißelt; herausgeschnitzt, herausgemeißelt
აღბოლქუებულ-ი	brennend, angezündet
თანაშეტყუებულ-ი	angepaßt
განმტყუებულ-ი	falsch
სულშუებულ-ი	fröhlich, ausgeruht
ზეაღებულ-ი	geöffnet
პირაღებულ-ი	mit offenem Mund
მუცლადღებულ-ი	geschwängert, schwanger, trächtig
ნახევარმიღებულ-ი	halbtot
ახალნათელღებულ-ი	frisch getauft
წინადაწყებულ-ი	früherer
მოუწყებულ-ი	benachrichtigt
იდუმალტყორცებულ-ი	heimlich / verdeckt abgeschossen
შემოწებულ-ი	zusammengeklebt, eng verbunden
ღმრთივცხებულ-ი	von Gott gesegnet / gesalbt
ზეთცხებულ-ი	ölgesalbt, ölbestrichen
განგონჯებულ-ი	Aussätziger
დაჩხიბულ-ი	Zauber-
მობაგულ-ი	obere Türeinfassung
სიძაგულ-ი	Abscheu, Ekel
გარდარგულ-ი	übertragen, verbreitet
ოქრონაკადულ-ი	goldverströmend, mit Gold strömend; Redner
კეთილმოქადულ-ი	berühmt; Gutes versprechend
მიმოდაზიდულ-ი	hin- und hergeneigt
მართლჩაზიდულ-ი	nach unten gelassen, hinabgelassen, nach unten gebogen
ღმრთისმოკიდულ-ი	Anhänger Gottes
ვეცხლითსყიდულ-ი	mit Silber gekauft
წყმენდულ-ი	verloren, untergegangen; verloren, untergegangen
ღჳნისსაფარდულ-ი	Weingeschäft
თანამოფარდულ-ი	gemeinsam Handel treibend
ვეცხლითმოფარდულ-ი	Silberhändler
თესლისმოფარდულ-ი	Geldwechsler
ძოწეულისმოფარდულ-ი	Purpurgewandhändler
წყუდეულ-ი	gefangen, eingesperrt
წდეულ-ი	eingegossen, hingereicht
ოცდაათეულ-ი	dreißigfach, Dreißigstel; ein Maß
მათეულ-ი	ihr / deren Verwandter
მემთეულ-ი	Berg-, Gebirgs-
სამწყრთეულ-ი	drei Ellen
ორწყრთეულ-ი	zwei Ellen
ჰასაკეულ-ი	alt, groß
დიეკეულ-ი	Färse, weibliches Rind oder Kalb
მტკავლეულ-ი	Spanne
თანასახლეულ-ი	Familienmitglied, gemeinsam wohnend
ვეცხლეულ-ი	Silbergeld
მამისმამეულ-ი	Nachkommenschaft
ჟამეულ-ი	Zeit-
ტომეულ-ი	Landsmann
ძმარსუმეულ-ი	der Essig getrunken hat
ჴუმეულ-ი	verwendet, benutzt; betrachtet, angesehen
ჩუენეულ-ი	Unsriger
ტევნეულ-ი	Weintraube
დრაჰკნეულ-ი	Drahkan
მეჭუნეულ-ი	argwöhnisch
მიმოქნეულ-ი	umherlaufend, sich drehend
ზეშთაგარდარეულ-ი	übertrieben
თანაცხედრეულ-ი	Gatte, Gattin
ცნობაშერეულ-ი	verrückt
ნავღელრეულ-ი	gallevermischt
ყუავილგანრეულ-ი	geblümt
ცუარგანრეულ-ი	tauvermischt, taufeucht
თეთრგანრეულ-ი	mit Weiß vermischt, weißmeliert
მწჳრეაღრეულ-ი	schlammig
ერგასეულ-ი	fünfzig
ერგასისეულ-ი	fünfzig
თუეულ-ი	Monats-
ზღუდედარღუეულ-ი	zerstörte / eingestürzte Mauer
შემრღუეულ-ი	durcheinandergebracht, erregt
მიმთხუეულ-ი	begegnet, gefallen, gestürzt
გარემოხუეულ-ი	geschlossen, bedeckt
ნისლშემოხუეულ-ი	nebelverhüllt
რიცხუეულ-ი	gezählt
მეფეულ-ი	Königreich
შეწყეულ-ი	verflucht, verdammt
რჩეულ-რჩეულ-ი	bester
წარრჩეულ-ი	ausgewählt
წინააღრჩეულ-ი	erlesen, ausgewählt
სამოცეულ-ი	Sechzigstel, sechzigfach
გუერდქცეულ-ი	abschüssig
გარემიქცეულ-ი	umgewandt
უკუანქცეულ-ი	zurückgekehrt
გარემოქცეულ-ი	umgekehrt, zurückgekehrt
მიმოქცეულ-ი	gewunden, geschlängelt
ზედაგარდათხეულ-ი	überlaufend
მოწუვულ-ი	verbrannt
დათხზულ-ი	geflochten
მრავალშეთხზულ-ი	verworren, kompliziert
ოქროშეთხზულ-ი	goldvermischt
სამთხზულ-ი	dreifach geflochten
მოთხზულ-ი	geflochten
განვთულ-ი	geteilt
ზედადართულ-ი	hinzugefügt
თანადართულ-ი	hinzugefügt, einverstanden
ნათელგარდართულ-ი	lichtdurchdrungen, lichtbeschienen
მრავალსართულ-ი	vielstöckig
ოთხსართულ-ი	vierstöckig
შეკუართულ-ი	verknüpft
თანაშერთულ-ი	vereint, verbunden
ზედმორთულ-ი	hinzugefügt
პებით სთულ-ი	einzeln / stückweise gewebt
მერჩულიულ-ი	Mertschuli-Versmaß
დამშჭუალულ-ი	angenagelt
შემშჭუალულ-ი	verbunden, verknüpft, durchdrungen
სიწყალულ-ი	Mitleid, Barmherzigkeit
აღშალულ-ი	durcheinandergebracht
განკძალულ-ი	vorsichtig, behutsam, fleißig; vorsichtig, behutsam, fleißig
მოსაბლულ-ი	angeschnallt, angebunden
მცირედსწავლულ-ი	ungebildet
ღმრთივსწავლულ-ი	von Gott gelehrt
ღმრთითსწავლულ-ი	von Gott gelehrt
მრავალსწავლულ-ი	sehr gebildet
წინაგანსწავლულ-ი	belehrt
ახილულ-ი	mit geöffneten Augen
ზეხილულ-ი	geöffnet (Augen)
ძჳრხილულ-ი	Böses / Schlimmes ertragend
თანააღხილულ-ი	abgezählt
ასონაკლულ-ი	Krüppel, Invalide (dem ein Körperglied fehlt)
შესლულ-ი	hineingegangen
მოპიტლულ-ი	verputzt, verschmiert
განფიწლულ-ი	geworfelt, verheert, vernichtet
თივამეწამულ-ი	rotes Kraut
რქამეწამულ-ი	rotsprossig (Rebe)
მიმოგანბმულ-ი	verbreitet
ჯაჭუმობმულ-ი	in Ketten gelegt
დათლემულ-ი	eingeschlummert
ახლის-პირით გუემულ-ი	mondsüchtig
ღელვაგუემულ-ი	von den Wellen geschlagen
ცისად-ცისადგუემულ-ი	Mondsüchtiger, Schlafwandler
ზედადაცემულ-ი	niedergestürzt
გუელცემულ-ი	von einer Schlange gebissen
სენცემულ-ი	krank
ნუგეშინისცემულ-ი	getröstet
უნუგეშინისცემულ-ი	trostlos, verzweifelt
საშუვალდასუმულ-ი	in die Mitte gesetzt
ცოლსუმულ-ი	beweibt
ღჳნოსუმულ-ი	Weintrinker
თანაშეთქუმულ-ი	mitverschworen
გამოთქუმულ-ი	ausgesprochen; erzählt
ზემოთქუმულ-ი	oben erwähnt
ზემოწარმოთქუმულ-ი	oben erwähnt
წინაჲსწართქუმულ-ი	vorausgesagt, vorhergesagt
ჯუარცუმულ-ი	gekreuzigt
ჯუარსცუმულ-ი	gekreuzigt
მრავალგანთქმულ-ი	berühmt
ზედადასხმულ-ი	niedergesetzt
ფიცარმოსხმულ-ი	Bretter-
ნახევარსხმულ-ი	halbvoll
წარძღუანულ-ი	weggeschickt
დატკებნულ-ი	gestampft; gestampft
წარევნულ-ი	durcheinander, wirr, verrückt; durcheinander, wirr, verrückt
შერევნულ-ი	vermischt, durcheinandergebracht; vermischt, durcheinandergebracht
წუევნულ-ი	gerufen, eingeladen
შეზმნულ-ი	gelehrt, gebildet
ურჩებაქმნულ-ი	ungehorsam, unbotmäßig
მთაქმნულ-ი	vergrößert; zum Berg geworden
კიდექმნულ-ი	getrennt, entfernt; Eremit
მოწესექმნულ-ი	Mönch / Nonne geworden
პირველშექმნულ-ი	zuallererst geschaffen
მოღუაწექმნულ-ი	fürsorgend, betreuend, arbeitend
ღმრთივქმნულ-ი	von Gott geschaffen
ჴელითქმნულ-ი	von Hand geschaffen; Götzenbild
ნაკუერცხალქმნულ-ი	zu Glut geworden
მახლობელქმნულ-ი	angenähert, nahestehend
საცინელქმნულ-ი	ausgelacht, verspottet
შვილქმნულ-ი	adoptiert
ობოლქმნულ-ი	verwaist
ფრთოვანქმნულ-ი	begeistert
უჴმოქმნულ-ი	stumm geworden
უღონოქმნულ-ი	in Not
ურწმუნოქმნულ-ი	ungläubig, ungehorsam
სამთავროქმნულ-ი	Untertanen-
უცხოქმნულ-ი	entfernt
ნაცარქმნულ-ი	zu Asche geworden
მტერქმნულ-ი	feindlich geworden
ველურქმნულ-ი	verwildert
უგანმაგრებულესქმნულ-ი	stärker befestigt
დაძჳნულ-ი	aufgehäuft, angehäuft
არააღსუარულ-ი	unverunreinigt
ვეცხლისსიყუარულ-ი	Liebe zum Geld
სიბრძნისსიყუარულ-ი	Weisheitsliebe
ვეცხლისმოყუარულ-ი	Geldliebhaber, habgierig
უყუარულ-ი	hassend, hochmütig
ვეცხლისუყუარულ-ი	geldverachtend
ზედამოხარულ-ი	hocherfreut
თანამოხარულ-ი	gemeinsam erfreut
ზედმოხარულ-ი	auslachend, verspottend
ბნელისმოხარულ-ი	erfreut über die Finsternis
უხარულ-ი	trauernd, betrübt
შთაბერულ-ი	eingeblasen, eingehaucht
შებერულ-ი	geblasen, aufgeblasen, geschmolzen
მტერულ-ი	feindlich
თანაშეკრულ-ი	verknüpft, verbunden, vereint
შთასრულ-ი	hinabgegangen
წასრულ-ი	weggegangen, vorig; weggegangen, vorig
ზესთსრულ-ი	dank himmlischer Gnade vollkommen
ფერმისრულ-ი	bleich / fahl geworden
შთამოსრულ-ი	herabgekommen, angekommen, eingetroffen
თანამოსრულ-ი	gemeinsam gekommen
ჩამოსრულ-ი	herabgekommen, angekommen, eingetroffen; herabgekommen, angekommen, eingetroffen
ახლადმოსრულ-ი	neugekommen
შემოსრულ-ი	hereingekommen
ზედაშემოსრულ-ი	gesprenkelt
ახალმოსრულ-ი	neuangekommen
წარმოსრულ-ი	hergekommen
წიაღმოსრულ-ი	herübergekommen, überquert
ნახევარსრულ-ი	halbvollendet
თანაწარსრულ-ი	vorübergegangen, fehlgegangen
წიაღსრულ-ი	hinübergegangen, überquert
წარმოტრულ-ი	mitgekommen
წარმოძრულ-ი	hergekommen, begonnen
უძრულ-ი	kraftlos, krank, schwach; kraftlos, krank, schwach
ღმრთივაღძრულ-ი	von Gott eingegeben
თესულ-ი	gesät
დათესულ-ი	gesät
შთათესულ-ი	hineingesät
მითესულ-ი	verstreut
მიმოგანთესულ-ი	verstreut
გარდალესულ-ი	poliert
შთალესულ-ი	hineingesteckt
დაკემსულ-ი	genäht, geflickt
თანაშექუსულ-ი	vereint, verbunden
ჴსულ-ი	geschlossen
მოჴსულ-ი	geschlossen
სტრატულ-ი	Kutscher, Wagenlenker
მოკაფულ-ი	abgenutzt, geschwächt
შეღუერფულ-ი	angehäuft, hingeworfen
ცრუმოციქულ-ი	falscher Apostel
მღულ-ი	Sichel
შერტყულ-ი	gegürtet
ჴრშულ-ი	geschlossen; geschlossen
დაჴრშულ-ი	geschlossen; geschlossen
თჳთრჩულ-ი	eigenwillig, eigensinnig
ჩრჩულ-ი	sehr klein, weich, neugeboren; sehr klein, weich, neugeboren
შჩულ-ი	Gesetz, Glauben; Strafe
ღმრთივდაცულ-ი	von Gott geschützt
დალეწულ-ი	zerschlagen, zerstört, zersplittert
სეფეწულ-ი	Höfling, Vornehmer am Königshof
შეძერწულ-ი	angeklebt, verschmiert, verbunden
ოქროშეძერწულ-ი	goldbeschlagen
მოძერწულ-ი	geschmückt, beschlagen, besetzt
ვეცხლმოძერწულ-ი	silberverziert, versilbert
დედისდისწულ-ი	Kousin, Kousine
შვილისწულ-ი	Enkelkind
სახლისწულ-ი	Kind der Magd (vom Hausherrn)
მამისძმისწულ-ი	Kousin, Kousine
ძისწულ-ი	Enkelkind
შეზრახულ-ი	verhandelt, übereingekommen
მოზრახულ-ი	erdacht, erfunden
რისხულ-ი	zornig, wütend
აღრაცხულ-ი	gezählt
თანამოსაჯულ-ი	Kläger, klagend
მშაჯულ-ი	Richter; Richter
სხუაშჯულ-ი	Bekenner eines anderen Glaubens
ჭროფლ-ი	Sommersprossen
სავაღლ-ი	Faden, Netz; Faden, Netz
საღუაწლ-ი	notwendig, zu betreuend; notwendig, zu betreuend
ისრაჱლ-ი	Israel, Israelite
წრჳლ-ი	klein, dünn, eng, Stückchen; Kleingeld; klein, dünn, eng, Stückchen; Kleingeld
მონოქსჳლ-ი	Einbaum
კერტჩჩჳლ-ი	mit frischen Knospen
ნეცჳლ-ი	zerkrümelt, zermalmt
აღძრცჳლ-ი	bestohlen, geplündert
უბრძჳლ-ი	unversehrt, unverwundet
თითსხჳლ-ი	dickfingerig
ბარკალსხჳლ-ი	Schenkel
ჴმამსხჳლ-ი	tiefstimmig
რაბამ-ი	wieviel; was für ein
სახისდასაბამ-ი	Muster, Beispiel
მდგამ-ი	kräftig, muskulös
მონათმოდგამ-ი	einverstanden
სახელითმოდგამ-ი	Namensvetter
საქმისმოდგამ-ი	Mitarbeiter
საყდრისმოდგამ-ი	Beisitzer
მღამ-ი	Fledermaus
სელისლელწამ-ი	Leinpflanze
ჰაჯამ-ი	Schröpfer, Bader
ჰამ-ი	Stock mit eiserner Spitze
სირაქლემ-ი	Vogel Strauß
ნაგურემ-ი	geschlagen, Wunde
საყჳრისმცემ-ი	Hornbläser
მწემ-ი	Jüngster; gehorsam, untergeben; Jüngster; gehorsam, untergeben
სუარიმ-ი	untauglich, unbrauchbar
რასიმ-ი	Leibwache
სამძიმ-ი	schwierig, schwer, belästigend
თანადამდგომ-ი	Helfer
წინაშემდგომ-ი	vorn stehend, Vorsteher
წინადაუდგომ-ი	unerträglich, unausstehlich
აღუდგომ-ი	gefallen, gestürzt
ზეაღუდგომ-ი	hinfällig
ინაჴით-მჯდომ-ი	am Tisch sitzend
ზედამჯდომ-ი	oben sitzend
წილისსაზომ-ი	Maß
ჰაგზომ-ი	soviel
ესეზომ-ი	soviel
მიმომცთომ-ი	geirrt, getäuscht; umherirrend
მწყრომ-ი	wütend, zornig
გამწყრომ-ი	zornig, wütend
უცხოტომ-ი	fremdstämmig, Ausländer
წინამძღომ-ი	Führer, Anführer
ვარმ-ი	über dem Kettenhemd zu tragendes Kleidungsstück
აღნუმ-ი	Heerschau, Parade
უჭმ-ი	fastend, nicht essend
ტოჰმ-ი	Stamm, Volk, Geschlecht
კბჳშტაბან-ი	Armreif; Baum Peridexion (Esche)
შუვაუბან-ი	Mittelplatz
მცირათაგან-ი	eins von den sehr Geringen
ზეცისათაგან-ი	einer von den Himmlischen
მჯობეთაგან-ი	einer von den Besseren; einer von den Besseren
მეაჩრდილეთაგან-ი	einer von den Schauspielern
მესიზმრეთაგან-ი	einer von den Traumdeutern
დიდებისმბორგელთაგან-ი	einer von den Ehrgeizigen / Ruhmsüchtigen
წინაწარმეტყუელთაგან-ი	einer der Propheten
ჰეროდიანთაგან-ი	einer von den Anhängern des Herodes
სპონდიონთაგან-ი	einer von den Mönchen
პაპისპაპთაგან-ი	ein Nachkomme
