უჟეჟთაეს-	höchster
წინადაცუეთა	beschneiden
წუეთა	tropfen
ვითა	wie
გზითა	mittels, durch, mit
ბრუმეტება თუალთა	blenden
ჟეჟთა	über, oben; über, oben
დაწუართა	lernen, sich einprägen
წურთა	abrichten, unterrichten, lehren, schlagen, strafen, beabsichtigen
გაწურთა	unterrichten, abrichten; lernen; bestrafen; sich entfernen; unterrichten, abrichten; lernen; bestrafen; sich entfernen
განწურთა	unterrichten, abrichten; lernen; bestrafen; sich entfernen
მოწურთა	dressieren, lehren
აღწურთა	lehren, unterrichten, schulen, trainieren, abrichten
ზესთა	über, oben
ზეშთა	über, oben; über, oben
რაჲთა	daß, damit
დია	sehr, überaus
გვედია	es ist dir anvertraut
მესია	Messias
მშია	Messias
განბებკა	verschleißen, zerfledern
ბეკა	stampfen, festtreten
რეკა	klopfen, anklopfen, schlagen, anschlagen, zittern
დარეკა	anklopfen
დრეკა	biegen, beugen, gebogen werden, sich neigen
დადრეკა	biegen, beugen, sich neigen, sich beugen
გარდადრეკა	biegen, sich neigen, verführen
შედრეკა	biegen, beugen, krümmen
მიდრეკა	umbiegen, sich neigen
განდრეკა	abfallen, zum Abfall bewegen; verfälschen; abweichen, meiden
მოდრეკა	biegen, umbiegen
მიმოდრეკა	hin- und herbiegen
აღმოდრეკა	vom Weg nach oben abbiegen
დაღრეკა	gebückt / gebeugt werden
შეღრეკა	biegen, krümmen
შესხრეკა	biegen, beugen, krümmen
ჩხრეკა	scharren, wühlen, stochern
დაჩხრეკა	schreiben
ჩაჩხრეკა	eintragen, einschreiben
შეჩხრეკა	eintragen, einsetzen, hinzufügen
მოფხეკა	schaben, abschaben
მკა	mähen, ernten
მომკა	mähen, ernten
ლოკა	lecken
მალა	sich wundern, staunen
მობღალა	besudeln, beschmieren
გლა	umsorgen, bedrücken
დაგლა	zerschlagen, zerschmettern
შეგლა	zerstampfen, zerquetschen
მოგლა	zerbröckeln, zerbrechen, zerstampfen
განმარგლა	jäten
მომარგლა	jäten, sammeln
აზელა	kneten, verrühren
დაზელა	kneten
შეზელა	kneten, verkneten, massieren
თანაშეზელა	sich einmischen
წულელა	ermitteln, untersuchen, ausforschen
წუელა	melken
მოწუელა	melken
ჴუელა	husten
ვლა	gehen, laufen
გავლა	hinausgehen, fortgehen, hindurchgehen
დავლა	umgehen, herumgehen, begehen
მიმოდავლა	hin- und hergehen
გარდავლა	vorübergehen, hinübergehen
წინაწავლა	vorübergehen, vorbeigehen
სწავლა	lernen, lehren, unterweisen, bestrafen
გასწავლა	lehren, lernen, unterweisen; bestrafen; lehren, lernen, unterweisen; bestrafen
დასწავლა	lernen
შესწავლა	kennenlernen, verstehen, lernen, beobachten
განსწავლა	lehren, lernen, unterweisen; bestrafen
წინაგანსწავლა	belehren
გარეშევლა	herumgehen
თხევლა	fischen
სათხევლა	fischen
მივლა	weggehen, hingehen, durchziehen
გარემივლა	herumgehen
განვლა	hinausgehen, fortgehen, hindurchgehen
მოვლა	umherziehen, herumgehen lassen
ამოვლა	heraufkommen, durchwandern, zurücklegen
ჩამოვლა	herabkommen
გარემოვლა	herumgehen
შემოვლა	rundherumgehen, einen Kreis ziehen
მიმოვლა	hin- und hergehen, umhergehen
წარმოვლა	vorbeigehen
წიაღმოვლა	herüberkommen
წარვლა	weggehen, hinausgehen, vorbeigehen
თანაწარვლა	vorübergehen, vorbeigehen, mißachten
წიაღვლა	überschreiten
დათლა	schnitzen
განთლა	schnitzen, hobeln, behauen, beseitigen
მოთლა	abschaben
გამოთლა	herausschneiden, herausschnitzen, herausmeißeln, darstellen, entstehen
თანარბოლა	gemeinsam laufen
შეწბოლა	sich schämen
წრდოლა	fließen, tröpfeln
თრთოლა	zittern
წუთოლა	tropfen
გამოწუთოლა	heraustropfen
დამოწუთოლა	herabtropfen
გარდამოწუთოლა	herabtropfen
გარდმოწუთოლა	herabtropfen; herabtropfen
სროლა	werfen, schießen
ქროლა	wehen, stürmen
მიმოქროლა	wehen
ყროლა	stinken
კუსოლა	wärmen, sich erwärmen
შევტოლა	hineinrennen, Zuflucht suchen
სივტოლა	fliehen; fliehen
შევლტოლა	hineinrennen, Zuflucht suchen
მივლტოლა	fliehen, wegrennen
სივლტოლა	fliehen
გარეგანვლტოლა	wegrennen
მოვლტოლა	herrennen
შემოვლტოლა	hereinrennen, sich drinnen verbergen
წარმოვლტოლა	herlaufen
წარვლტოლა	weglaufen, fliehen
ძღოლა	führen, vorangehen
წინაძღოლა	führen, vorangehen
მიძღოლა	führen, vorangehen
მოძღოლა	vorangehen, führen
გამოძღოლა	vorausgehend herausbegleiten
წარმოძღოლა	herausführen
წარძღოლა	führen, vorausgehen
წინაწარძღოლა	führen, vorangehen
ყოლა	ganz, völlig; haben, folgen, nachahmen; ganz, völlig
გზა-ყოლა	begleiten
გზად-ყოლა	begleiten
შთაყოლა	hinabbegleiten
თანაყოლა	mitnehmen, mitbringen
შეყოლა	hineinbegleiten
თანაშეყოლა	sich einmischen, folgen
მიყოლა	folgen, begleiten, hinführen
თანამიყოლა	folgen
განყოლა	fortbegleiten
მოყოლა	begleiten
გამოყოლა	begleiten, herausbegleiten
შთამოყოლა	herabbegleiten
თანაშთამოყოლა	herabbegleiten
აღმოყოლა	heraufbringen, herausbringen
თანაწარყოლა	begleiten
აღყოლა	hinaufführen, hinaufbringen, nachahmen, prahlen
რჩოლა	gehorchen
მირჩოლა	gehorchen
მორჩოლა	gehorchen, gehorsam sein
ბძოლა	kämpfen, streiten, bekriegen; kämpfen, streiten, bekriegen
ბრძოლა	kämpfen, streiten, bekriegen
თანაბრძოლა	kämpfen, bekämpfen
წოლა	liegen, sich legen
დაწოლა	sich hinlegen, beischlafen
მიწოლა	sich hinlegen
ძრწოლა	schlottern, beben, zittern
ძწოლა	schlottern, beben, zittern; schlottern, beben, zittern
უკუნსთულა	nochmals pflücken
კულა	wieder; wieder
დამომარცულა	abbeeren
შლა	durcheinanderbringen, verwirren; vermischen; übel werden
აღშლა	durcheinanderbringen, zerrütten
ცლა	Zeit haben
შთაცლა	ausleeren
მიცლა	Zeit haben
განცლა	leeren, freigeben
გამოცლა	sich entfernen
წარმოცლა	leeren, hervorziehen
შეჴლა	schlagen, stoßen
ჭამა	essen, aufessen
განჭამა	aufessen
მოჭამა	aufessen, weiden, ausnutzen
ბმა	binden
ბრალის-ბმა	Schuld haben
შიშუდილის-ბმა	sich aufhängen, sich erhängen
შიშთვილის-ბმა	sich aufhängen, sich erhängen
გაბმა	binden, anbinden, mit einem Strick hinausführen, Wurzeln schlagen; binden, anbinden, mit einem Strick hinausführen, Wurzeln schlagen
დაბმა	anbinden, binden, anwurzeln
შთაბმა	am Seil hinablassen
თანაბმა	anbinden
შებმა	anbinden, sich umhängen, (Tür) anbringen, verknüpft sein, den Kampf aufnehmen; geben, haben
მიბმა	an einem Seil wegführen
განბმა	binden, anbinden, mit einem Strick hinausführen, Wurzeln schlagen
მობმა	herholen, anbinden
გამობმა	anbinden, festbinden, begründen
დამობმა	anhängen, umhängen
შთამობმა	hinablassen
შემობმა	hinzufügen
წარმობმა	gebunden herführen
აღმობმა	herausbringen, herausnehmen
წარბმა	gebunden wegführen
დგმა	stehen, stellen, haben
ღაღად-დგმა	aufschreien
თავ-დგმა	beenden
მიზეზის-დგმა	vorschützen, vorgeben, sich stellen
ინაჴის-დგმა	Tafel decken
გულს-დგმა	überlegen, beabsichtigen
ინაჴ-დგმა	sich zu Tisch legen, zu Tisch liegen
ადგმა	aufrichten, aufstellen; aufrichten, aufstellen
გადგმა	legen, anordnen; legen, anordnen
დადგმა	stellen, legen, setzen, aushalten
წინადადგმა	aushalten
შთადგმა	hinabstellen, hineinstellen
ზედგმა	daraufstehen
შედგმა	hinstellen, aufstellen, hineinstellen, abstellen, herantreten, anlegen, verknüpfen, anfassen, angreifen
მიდგმა	hinstellen, hintreten
განდგმა	legen, anordnen
მოდგმა	umzingeln, belagern, Hilfe erhalten
მიმოდგმა	andeuten
წარმოდგმა	herbringen, hinstellen
წარდგმა	hinübertreten
აღდგმა	aufrichten, aufstellen
კდემა	meiden, sich schämen
შეკდემა	sich schämen
დაჟღლემა	zerdrückt / zerquetscht werden
შეჭყლემა	zusammendrücken, zermalmen
სრემა	kämmen, herrichten (Haar)
გურემა	schlagen, hineinbohren, verwunden; schlagen, hineinbohren, verwunden
განგურემა	verwunden; töten; verwunden; töten
გუემა	quälen, plagen, schlagen, strafen
დაგუემა	schlagen, quälen, niederschlagen, geschlagen / gequält werden
ცემა	geben; (sich) schlagen, stoßen, anstoßen
შთაგდებად-ცემა	hineinwerfen lassen, hinabwerfen lassen
გარდმოდგინებად-ცემა	aufwiegeln, aufhetzen
წარდგინებად-ცემა	hinführen lassen
შეგბობად-ცემა	kochen lassen
აღქუმად-ცემა	brechen, übel sein, sich übergeben
მიწერად-ცემა	hinschreiben lassen
წარწერად-ცემა	unterschreiben lassen
შთაყოფად-ცემა	hineinstecken lassen
დრო-ცემა	Frist verlängern
დაბრკოლების-ცემა	verführen, stören
შემატების-ცემა	hinzufügen, erwerben
ფლობის-ცემა	Macht geben, erlauben
წყობის-ცემა	kämpfen, bekämpfen
დახრწევის-ცემა	stören
პატივის-ცემა	ehren, verehren
გზის-ცემა	zulassen, Weg freigeben
ნათლის-ცემა	taufen
ადგილის-ცემა	aufgeben, überlassen, abtreten, zugestehen, verzichten, erlauben, gestatten
ბრძოლის-ცემა	bekämpfen
დასასრულის-ცემა	enden, beenden
ჴმის-ცემა	schreien, Stimme erheben, antworten
თაყუანის-ცემა	niederfallen vor, verehren, anbeten; niederfallen vor, verehren, anbeten
თავყუანის-ცემა	niederfallen vor, verehren, anbeten; niederfallen vor, verehren, anbeten
თავყანის-ცემა	niederfallen vor, verehren, anbeten
შეწევნის-ცემა	helfen, unterstützen
ნუგეშინის-ცემა	trösten
პირის-ცემა	gestatten, erlauben
საყჳრის-ცემა	ins Horn blasen
ნუგეშის-ცემა	trösten; trösten
ფერჴის-ცემა	einen Tritt geben; unterdrücken
გაცემა	geben, herausgeben, ausliefern, verraten; geben, herausgeben, ausliefern, verraten
დაცემა	stürzen, fallen, schlagen, zerstören, niederwerfen
მიმოდაცემა	verteilen
გარდაცემა	übergeben, überlaufen, überlaufen lassen
ზეშთგარდაცემა	überlaufen
მიცემა	geben, hingeben, hergeben, hinbringen, ausliefern, übergeben, bezahlen, opfern, verraten
მადლის-მიცემა	danken
განცემა	geben, herausgeben, ausliefern, verraten
შინაგანცემა	verraten
უკუნცემა	zurückgeben
მოცემა	geben, hergeben, übergeben
გამოცემა	herausnehmen, herausgeben, geben, hervorgeben, hervorbringen
გარდამოცემა	herabfließen
უკმოცემა	zurückgeben
წარმოცემა	herschicken, mitkommen, herkommen, herausfließen
უკუმოცემა	zurückgeben
აღმოცემა	herausgeben
წარცემა	wegschicken, überreichen, anstoßen
გრჭემა	zwicken
ზმა	machen, tun
ჯეკმა	stark, zu stark, zu sehr
დგომა	stehen, bleiben, sein, sich befinden
ადგომა	aufstehen, sich erheben, auferstehen, Widerstand leisten; aufstehen, sich erheben, auferstehen, Widerstand leisten
გადგომა	verraten, abfallen; verraten, abfallen
დადგომა	stehen, bestehen, stehenbleiben, bleiben; helfen; erblinden; aufhören
ზედადადგომა	sich von oben hinstellen
თანადადგომა	helfen, beistehen
წინადადგომა	Widerstand leisten, bekämpfen
ზედადგომა	leiten
გარდადგომა	ändern, zurücktreten
თანადგომა	helfen, beistehen, stehen bei
შედგომა	folgen, begleiten, verfolgen, stehenbleiben
მიდგომა	sich annähern, schwanger werden
ზედამიდგომა	hinzutreten, hingelangen
თანამიდგომა	sich nähern
განდგომა	verraten, abfallen
უკუნდგომა	zurückweichen, umkehren
მოდგომა	herantreten, berennen, einschließen, umzingeln
ზედამოდგომა	kommen
გარემოდგომა	umzingeln, umschließen
შემოდგომა	folgen, verfolgen
წარმოდგომა	aufstehen, herkommen, sich hinstellen
წარდგომა	hingehen, vorstellen
აღდგომა	aufstehen, sich erheben, auferstehen, Widerstand leisten
მჴდომად აღდგომა	feind sein, befehden
ზედააღდგომა	Widerstand leisten
წინააღდგომა	Widerstand leisten, sich widersetzen
ზეაღდგომა	aufstehen
დადრგომა	stehenbleiben, haltmachen, bleiben, verbleiben, wohnen, einkehren; stehenbleiben, haltmachen, bleiben, verbleiben, wohnen, einkehren
შევდომა	niederfallen, niederknien, entgegenstürzen; niederfallen, niederknien, entgegenstürzen
ვლდომა	gehen, springen
გარდამოვლდომა	herabspringen, herabkommen
აღმოვლდომა	heraufkommen, aufspringen
აღვლდომა	hinaufsteigen, hinaufeilen
ხლდომა	springen, rennen
გარდახლდომა	hinabspringen, hinüberspringen
შეხლდომა	aufspringen
მიხლდომა	hinstürzen, überfallen
განხლდომა	herausspringen, herausfallen
გამოხლდომა	herausspringen, herausfallen
მიმოხლდომა	hin- und herspringen, tanzen
აღხლდომა	emporspringen
ნდომა	wollen, wünschen
ვრდომა	fallen
დავრდომა	niederfallen, umfallen, zu Füßen fallen; Zuflucht finden, übrigbleiben
გარდავრდომა	abstürzen, hinabstürzen
შთავრდომა	hineinfallen, hinabfallen
ჩავრდომა	hineinfallen, hinabfallen; hineinfallen, hinabfallen
შევრდომა	niederfallen, niederknien, entgegenstürzen
მივრდომა	hinstürzen, hinfallen, Zuflucht suchen
განვრდომა	hinausfallen, hinausstürzen, fallen, stürzen
უკუნვრდომა	auf die Rückseite fallen
მოვრდომა	ausfallen
გამოვრდომა	herausfallen, herausstürzen
დამოვრდომა	herabfallen, hinfallen
გადამოვრდომა	herabfallen, herunterfallen
გარდამოვრდომა	herabfallen, herunterfallen
შთამოვრდომა	herabfallen
ჩამოვრდომა	herabfallen
გარდმოვრდომა	herabfallen, herunterfallen
შემოვრდომა	heranstürzen, begegnen
მიმოვრდომა	hin- und herstürzen, sich drehen / bewegen
წარმოვრდომა	geschehen, machen
აღმოვრდომა	herausfallen
წარვრდომა	abfallen
აღვრდომა	aufspringen, emporspringen
მოკუდომა	sterben
გარდაწყუდომა	abreißen, aufhören
წუდომა	hinreichen
შეწუდომა	hinlangen, hinreichen
მიწუდომა	erreichen, erlangen, verstehen
წარწუდომა	hinlangen, hinreichen
აღწუდომა	hinaufreichen, hinauflangen
ხუდომა	zufallen, zuteil werden, angemessen sein
წილ-ხუდომა	zuteil werden
დახუდომა	begegnen, antreffen, daraufstoßen, zugegen sein
თანადახუდომა	anwesend sein, antreffen, einwilligen
შეხუდომა	begegnen, widerfahren
მიხუდომა	zuteil werden
მოხუდომა	begegnen, treffen
სთქდომა	platzen, bersten, zerspringen
განსთქდომა	hervorbrechen, hervorquellen, herausstürzen, herausfallen; hervorbrechen, hervorquellen, herausstürzen, herausfallen
გამოსთქდომა	hervorbrechen, hervorquellen, herausstürzen, herausfallen
განხთქდომა	hervorbrechen, hervorquellen, herausstürzen, herausfallen
ჩასქდომა	einstürzen, einbrechen
ატყდომა	sich entzünden, sich fürchten, erschrecken; sich entzünden, sich fürchten, erschrecken
გარდატყდომა	zermalmt werden
მიტყდომა	hinstürmen, hinstürzen
მოტყდომა	zerbrechen, brechen
აღტყდომა	sich entzünden, sich fürchten, erschrecken
გაწყდომა	abreißen, zerreißen
დაწყდომა	aufhören, versiegen
მიწყდომა	aufgeben, lassen, in Ruhe lassen
მოწყდომა	verderben, herabfallen, aussterben
დაშდომა	bleiben, übrigbleiben, zurückbleiben, zurücklassen
შეცდომა	sich irren, fehltreten, sich entfernen, verlieren; sich irren, fehltreten, sich entfernen, verlieren
მიწდომა	erreichen, erlangen, verstehen; erreichen, erlangen, verstehen
სხდომა	sitzen, wohnen
ასხდომა	sich daraufsetzen; sich daraufsetzen
დასხდომა	sich setzen, sich ansiedeln
ზესხდომა	oben sitzen
შესხდომა	sich hineinsetzen
გარემოსხდომა	ringsherumsetzen
აღსხდომა	sich daraufsetzen
ჯდომა	sitzen, sich setzen, sich niederlassen
ინაჴით-ჯდომა	sich an den Tisch setzen, am Tisch sitzen
აჯდომა	sich daraufsetzen; sich daraufsetzen
გაჯდომა	sich daraufsetzen
დაჯდომა	sich setzen, sich ansiedeln
თანაჯდომა	zusammensitzen
ზეჯდომა	vorn sitzen, oben sitzen
შეჯდომა	sich hineinsetzen, sich setzen
წამოჯდომა	sich aufsetzen; sich aufsetzen
შემოჯდომა	sich unten hinsetzen
წარმოჯდომა	sich aufsetzen
აღჯდომა	sich daraufsetzen
ჴდომა	gehen, kommen, Widerstand leisten, sich widersetzen, streiten, feind sein, austreten, herausrinnen
აჴდომა	hinaufgehen, hinaufsteigen, besteigen; hinaufgehen, hinaufsteigen, besteigen
დაჴდომა	hinabgehen, untergehen
გადაჴდომა	hinübergehen, übertreten
მიმოდაჴდომა	umhergehen, verstreut werden
გარდაჴდომა	hinübergehen, übertreten
ზედაგარდაჴდომა	überfluten, überschütten
შთაჴდომა	hinabgehen, hinabsteigen
წაჴდომა	weggehen, vergehen, verderben; weggehen, vergehen, verderben
შეჴდომა	hineingehen, aufspringen, angreifen, eindringen, hinaufklettern
ზედაშეჴდომა	angreifen, überfallen
მიჴდომა	hingehen, hingelangen, erreichen, überfallen
ზედამიჴდომა	angreifen
განჴდომა	hinausgehen, ausgehen, sich verbreiten
მოჴდომა	kommen, herausstürzen, überfallen
გამოჴდომა	herauskommen, fortgehen, hervorgehen, enden; treffen
გადამოჴდომა	herabkommen, herüberkommen, herabsteigen, niederstürzen; herabkommen, herüberkommen, herabsteigen,
ზედამოჴდომა	kommen, angreifen
გარდამოჴდომა	herabkommen, herüberkommen, herabsteigen, niederstürzen
შთამოჴდომა	herabkommen, von oben her angreifen
ჩამოჴდომა	herabkommen, von oben her angreifen; herabkommen, von oben her angreifen
გარდმოჴდომა	herabkommen, herüberkommen, herabsteigen,; herabkommen, herüberkommen, herabsteigen, niederstürzen
შემოჴდომა	hereinkommen
წარმოჴდომა	mitkommen
თანაწარმოჴდომა	herabkommen, vorübergehen
აღმოჴდომა	heraufkommen, heraufsteigen
წიაღმოჴდომა	herüberkommen, überqueren
წარჴდომა	weggehen, vergehen, verderben
თანაწარჴდომა	abgenommen werden, vom Hals geschafft werden, vorübergehen
გარეწარჴდომა	vorübergehen
აღჴდომა	hinaufgehen, hinaufsteigen, besteigen
წიაღჴდომა	hinübergehen, überqueren
ზომა	messen
შეზომა	vergleichen
თანაშეზომა	passend / geeignet sein
მიზომა	einmessen
განზომა	messen
მოზომა	messen
გავთომა	teilen, trennen, sich abteilen, sich überwerfen; teilen, trennen, sich abteilen, sich überwerfen
განვთომა	teilen, trennen, sich abteilen, sich überwerfen
განვლთომა	teilen, trennen, sich abteilen, sich überwerfen
კრთომა	erschrecken, aufschrecken, sich fürchten, sich bewegen (Kind im Mutterleib), hervorschimmern
გაკრთომა	erschrecken, wahnsinnig werden, sich fürchten; sich wundern, staunen, verwirrt werden, sich irren; verstreuen; erschrecken, wahnsinnig werden, sich fürchten; sich wundern, staunen,
განკრთომა	erschrecken, wahnsinnig werden, sich fürchten; sich wundern, staunen, verwirrt werden, sich irren; verstreuen
გამოკრთომა	herauseilen, herausstürzen, herausfallen
აღმოკრთომა	heraufeilen, heraufstürzen
აღკრთომა	aufspringen, auffahren, abspringen
წუთომა	versuchen
აწუთომა	hinaufreichen, hinreichen
გაწუთომა	hinreichen, hinlangen
დაწუთომა	herabtropfen
მიწუთომა	erreichen, erlangen, verstehen; erreichen, erlangen, verstehen
წარწუთომა	hinlangen, hinreichen; hinlangen, hinreichen
დაშთომა	bleiben, übrigbleiben, zurückbleiben, zurücklassen; bleiben, übrigbleiben, zurückbleiben, zurücklassen
ცთომა	sich irren, Fehler begehen
შეცთომა	sich irren, fehltreten, sich entfernen, verlieren
მიცთომა	verführen, verleiten
განცთომა	wahnsinnig / irre werden
მოცთომა	sich irren, ablenken
წარუკმოცთომა	sich irren
დაწთომა	herabtropfen; herabtropfen
მიწთომა	erreichen, erlangen, verstehen
გადაჴთომა	hinübergehen, übertreten
გარომა	am Leben bleiben, entgehen, entfliehen, gerettet werden; am Leben bleiben, entgehen, entfliehen, gerettet werden
დადგრომა	stehenbleiben, haltmachen, bleiben, verbleiben, wohnen, einkehren
განრომა	am Leben bleiben, entgehen, entfliehen, gerettet werden
შურომა	arbeiten, sich mühen, müde werden
დაშურომა	arbeiten, sich mühen, müde werden
ძურომა	kriechen
შთაძურომა	hineinkriechen
შეძურომა	hineinkriechen
მიძურომა	hinkriechen
წარძურომა	wegkriechen
წათქრომა	überholen; überholen
წინაწათქრომა	überholen
შეთქრომა	anspringen, angreifen, hinzustürzen
წართქრომა	überholen
განწყრომა	zürnen
შრომა	arbeiten, sich mühen, müde werden; arbeiten, sich mühen, müde werden
დაშრომა	arbeiten, sich mühen, müde werden; arbeiten, sich mühen, müde werden
მოშრომა	sich mühen, sich bemühen, (sich) herbemühen
ქუეძრომა	kriechen
ცხრომა	abnehmen (Mond)
გაცხრომა	sich freuen, jubeln, fröhlich sein
დაცხრომა	sich beruhigen, besänftigen, aufhören
შეცხრომა	mit jemandem spielen, genießen, sich weiden
განცხრომა	sich freuen, jubeln, fröhlich sein
მოცხრომა	sich unterhalten, verspotten, sich freuen
ხლტომა	springen, rennen; springen, rennen
დაშრტომა	erlöschen
დაშტომა	erlöschen; erlöschen
განზრქომა	dick werden, frech werden
განზღომა	satt werden
ძღომა	sich sättigen
გაძღომა	satt werden; satt werden
წინაძღომა	führen
განძღომა	satt werden
დარჩომა	übrigbleiben, auslassen
უკურჩომა	zurückbleiben
განვრცომა	verbreitet werden, sich ausbreiten
განსხომა	dick werden
დაცხომა	heiß werden
ფსმა	Wasser lassen
შეფსმა	anpissen
გართუმა	hinausschaffen
დართუმა	decken, bedecken
გარდართუმა	überdecken, bedecken
შერთუმა	hineinbringen, überreichen
მირთუმა	überreichen, hinbringen, hinführen
მორთუმა	herbringen, herführen, überreichen
გამორთუმა	abnehmen, entgegennehmen, herausbringen, herausschaffen
გარდამორთუმა	herbringen, herabbringen
შემორთუმა	hereinbringen, übergeben
აღმორთუმა	heraufreichen, heraufbringen
აღრთუმა	nach oben reichen, empornehmen
კუმა	rauchen
ბკუმა	stolpern, aufgehalten werden, fehlgehen; stolpern, aufgehalten werden, fehlgehen
ბრკუმა	stolpern, aufgehalten werden, fehlgehen
შებრკუმა	behindern, aufhalten, fehltreten
წარბრკუმა	sich irren, falsch machen
სუმა	bestreichen, beschmieren; trinken; haben, herbringen, herführen
ცოლის-სუმა	eine Frau heiraten
დასუმა	niedersetzen, niederlegen, einsetzen, schreiben
თანადასუმა	eng schreiben, Buchstaben an Buchstaben schreiben
გარდასუმა	herüberholen, herabholen
შთასუმა	hineinlegen
ჩასუმა	hineinlegen; hineinlegen
შესუმა	trinken; hineinwerfen (ins Gefängnis)
განსუმა	übersetzen, hinübersetzen, überholen
მოსუმა	bestreichen, beschmieren
გარდამოსუმა	herablassen
ჩამოსუმა	herabnehmen, herabsetzen
წარმოსუმა	aufsetzen
აღსუმა	daraufsetzen
ქუმა	kleben, ankleben
აქუმა	aufnehmen, ergreifen, emporheben, hinaufbringen, oben ankleben, tragen; aufnehmen, ergreifen, emporheben, hinaufbringen, oben ankleben, tragen
დაქუმა	anschmiegen, ankleben
თქუმა	sprechen, sagen, drohen
სულთ-თქუმა	stöhnen, seufzen, betrübt sein
სულ-თქუმა	stöhnen, seufzen, betrübt sein
მიმოდათქუმა	verbreiten (Nachricht)
გარდათქუმა	anders aussprechen
შეთქუმა	sich verschwören, verhandeln
განთქუმა	(Geschichte) verbreiten, sich verbreiten / ausbreiten
მიმოგანთქუმა	Nachricht verbreiten
მოთქუმა	erzählen
გამოთქუმა	aussprechen; erzählen
მიმოთქუმა	verbreiten (Nachricht), bereden, besprechen
წარმოთქუმა	sprechen, sagen
ზემოწარმოთქუმა	oben erwähnen
აღმოთქუმა	hervorstoßen, sprechen, sagen
წართქუმა	sprechen, reden
ზემოწართქუმა	oben erwähnen
აღთქუმა	versprechen, verheißen
მიქუმა	nehmen, aufnehmen, emporheben, ergreifen
განქუმა	kleben
მოქუმა	herbringen, herführen, emporheben
გარდამოქუმა	herüberbringen
აღმოქუმა	heraufbringen, herausholen, herausbringen
რქუმა	sagen, nennen; schließen, bedecken
დარქუმა	decken, bedecken
წარქუმა	wegnehmen, fortführen
მირქუმა	ausrichten lassen
მორქუმა	beauftragen, ausrichten lassen
აღქუმა	zu keuchen beginnen, außer Atem geraten; aufnehmen, ergreifen, emporheben, hinaufbringen, oben ankleben, tragen
ნათლით-აღქუმა	taufen
მოტყუმა	machen, tun
წარმოწყუმა	herausstoßen
დარწყუმა	(Falle) stellen
შერწყუმა	vereinen, verschmelzen
ჯუარს-ცუმა	kreuzigen
გარდაცუმა	umhängen, spannen (Bogen)
შთაცუმა	anziehen
შეცუმა	anstecken, aufreihen
განცუმა	hineinbohren, hineinstoßen
უკუნცუმა	hinten hineinstoßen, hinten hineinspießen
მოცუმა	halten
ამოცუმა	durchziehen, durchlöchern
ზემოცუმა	an die Oberfläche kommen
აღმოცუმა	auffädeln, durchziehen, durchstecken
აღცუმა	einspießen, einbohren
ყურად-ხუმა	hören, vernehmen
თუალთ-ხუმა	voreingenommen sein
თუალ-ხუმა	voreingenommen sein
ახუმა	nehmen, öffnen, aufheben, emporheben, wegnehmen, entfernen; nehmen, öffnen, aufheben, emporheben, wegnehmen, entfernen
გახუმა	hinaustragen, hinausschaffen
შეხუმა	hineintragen
მიხუმა	hinbringen, hinführen, wegnehmen, wegführen
განხუმა	wegbringen, öffnen
უკუნხუმა	wieder heraufnehmen, zurückholen
მოხუმა	aufnehmen, herbringen, wegnehmen, hervorbringen
გამოხუმა	herausnehmen
გარდამოხუმა	herabnehmen, abnehmen
ჩამოხუმა	Herabnehmen
შემოხუმა	hereinbringen
წარმოხუმა	mitnehmen
შუვაწარმოხუმა	zeigen
აღმოხუმა	herausnehmen
წარხუმა	wegnehmen, rauben
თანაწარხუმა	wegnehmen, wegschaffen
აღხუმა	nehmen, öffnen, aufheben, emporheben, wegnehmen, entfernen
დათქმა	verschlingen, verschlucken, hinabstürzen, verschlungen werden, versinken
შთათქმა	verschlingen; verschlingen
დანთქმა	verschlingen, verschlucken, hinabstürzen, verschlungen werden, versinken; verschlingen, verschlucken, hinabstürzen, verschlungen werden, versinken
შთანთქმა	verschlingen
გაღმა	jenseits
წაღმა	danach; geradeaus; danach; geradeaus
წამოღმა	hierher; hierher
რტყმა	umgeben, umgürten
შერტყმა	sich gürten, sich wappnen; verleihen
გარეშერტყმა	anziehen, sich anziehen
მორტყმა	(sich) gürten, sich anziehen
წარმორტყმა	anziehen, sich kleiden
დარწყმა	verbergen, (Falle) stellen
დაჭმა	aufessen
გარდაჭმა	zerbeißen
შეჭმა	aufessen, verzehren, verprassen
თანადშეჭმა	ganz aufessen
გამოჭმა	ausfressen, auffressen
აღჭმა	auffressen, in Stücke zerreißen, zerstückeln
დართხმა	der Länge nach hinstrecken
გარდართხმა	ausdehnen, überdecken
განრთხმა	ausbreiten, ausdehnen, ausstrecken
მორთხმა	spannen, ziehen
წარმორთხმა	ausstrecken, recken
აღრთხმა	hinaufziehen, emporspannen
სხმა	haben, zeugen, herbeiholen, sein, pflanzen, tragen, setzen, sich machen, verschaffen
ჴელთ-სხმა	fangen
ძალ-სხმა	können, imstandesein
აღჳრ-სხმა	zügeln, zäumen
თავს-სხმა	auf sich nehmen, erdulden
ცოლის-სხმა	eine Frau heiraten, zur Frau nehmen
მართჳს-სხმა	ausbrüten, Junge ausbrüten
ასხმა	hinaufbringen
გასხმა	hinauswerfen, verjagen, vertreiben; hineinbohren (Dorn); hinauswerfen, verjagen, vertreiben; hineinbohren (Dorn)
