			აბულაძე
Mt.18-6		Mt.18-6	
და	CONJ	და	
რომელმან	PRON	რომელ-	
დააბრკოლოს	VERB	ბრკოლ	დაბრკოლება
ერთი	NUM	ერთ-	
მცირეთა	ADJ	მცირე	
ამათგანი	PRON	ესე	
ჩემდა	PRON	ჩემ	
მომართ	PRT	მომართ	
მორწმუნეთაჲ,	NOUN	მორწმუნე	
უმჯობეს	ADJ	უმჯობეს-	
არს	VERB	არ-ს	ყოფა
მისა,	PRON	იგი	
დამო-თუ-იკიდოს	VERB	კიდ	დამოკიდება
წისქჳლი	NOUN	წისქჳლ-	
ვირით	NOUN	ვირ-	
საფქველი	NOUN	საფქველ-	
ქედსა	NOUN	ქედ-	
და	CONJ	და	
დაინთქას	VERB	ნთქ	დანთქმა
იგი	PRON	იგი	
უფსკრულსა	NOUN	უფსკრულ-	
ზღჳსასა.	NOUN	ზღუა	
Mt.18-7		Mt.18-7	
ვაჲ	PRT	ვაჲ	
სოფლისა	NOUN	სოფელ-	
ამის	PRON	ესე	
საცთურთა	NOUN	საცთურ-	
მათგან,	PRON	ესე	
რამეთუ	CONJ	რამეთუ	
უნებლიადცა	ADV	უნებლიად	
მომავალ	NOUN	მომავალ-	
არიან	VERB	ყოფნა	ყოფა
საცთურნი;	NOUN	საცთურ-	
ხოლო	CONJ	ხოლო	
ვაჲ	PRT	ვაჲ	
მის	PRON	იგი	
კაცისა,	NOUN	კაც-	
რომლისაგან	PRON	რომელ-	
მოვიდეს	VERB	ვიდ	მოსლვა
საცთური.	NOUN	საცთურ-	
Mt.18-8		Mt.18-8	
უკუეთუ	CONJ	უკუეთუ	
ჴელი	NOUN	ჴელ-	
შენი	PRON	შენ-	
ანუ	PRT	ანუ	
ფერჴი	NOUN	ფერჴ-	
შენი	PRON	შენ-	
გაცთუნებდეს	VERB	ცთუნ	ცთუნება
შენ,	PRON	შენ,	
მოიკუეთენ	VERB	კუეთ	მოკუეთა
იგი	PRON	იგი	
და	CONJ	და	
განაგდენ	VERB	გდ	განდგომა
შენგან.	PRON	შენ	
უმჯობეს	ADJ	უმჯობეს-	
არს	VERB	არ-ს	ყოფა
შენდა	PRON	შენ	
შესლვაჲ	NOUN	შესლვა	
ცხორებასა	NOUN	ცხორება	
მკელობელისა,	ADJ	მკელობელ-	
გინა	PRT	გინა	
უჴელოჲსაჲ,	ADJ	უჴელოჲსა	
ვიდრე	CONJ	ვიდრე	
ორნი	NUM	ორ-	
ჴელნი	NOUN	ჴელ-	
და	CONJ	და	
ორნი	NUM	ორ-	
ფერჴნი	NOUN	ფერჴ-	
თუ	CONJ	თუ	
გესხნენ,	VERB	სხ	სხმა
და	CONJ	და	
შთაჰვარდე	VERB	ვარდ	შთავარდნა
ცეცხლსა	NOUN	ცეცხლ-	
მას	PRON	იგი	
საუკუნესა.	ADJ	საუკუნე	
Mt.18-9		Mt.18-9	
და	CONJ	და	
უკუეთუ	CONJ	უკუეთუ	
თუალი	NOUN	თუალ-	
შენი	PRON	შენ-	
გაცთუნებდეს	VERB	ცთუნ	ცთუნება
შენ,	PRON	შენ,	
აღმოიღე	VERB	ღ	აღმოღება
იგი	PRON	იგი	
და	CONJ	და	
განაგდე	VERB	გდ	განგდება
შენგან.	PRON	შენ	
უმჯობეს	ADJ	უმჯობეს-	
არს	VERB	არ-ს	ყოფა
შენდა	PRON	შენ	
ერთთუალისაჲ	ADJ	ერთთუალ-	
შესლვად	NOUN	შესლვა	
ცხორებასა,	NOUN	ცხორება	
ვიდრე	CONJ	ვიდრე	
ორთა	NUM	ორ-	
თუალთა	NOUN	თუალ-	
სხმასა	NOUN	სხმა	
და	CONJ	და	
შთაგდებად	NOUN	შთაგდება	
გეჰენიასა	NOUN	გეჰენია	
ცეცხლისასა.	NOUN	ცეცხლ-	
Mt.18-10		Mt.18-10	
ეკრძალენით,	VERB	კრძალ	კრძალვა
ნუუკუე	PRT	ნუუკუე	
ვინმე	PRON	ვინმე	
შეურაცხ-ჰყოთ	VERB	შეურაცხ-ყოფა	შეურაცხ-ყოფა
ერთი	NUM	ერთ-	
მცირეთა	ADJ	მცირე	
ამათგანი.	PRON	ესე	
გეტყჳ	VERB	ტყუ	სიტყუა
თქუენ,	PRON	თქუენ,	
რამეთუ	CONJ	რამეთუ	
ანგელოზნი	NOUN	ანგელოზ-	
მათნი	PRON	მათ-	
ცათა	NOUN	ცა	
შინა	PRT	შინა	
მარადის	ADV	მარადის	
ჰხედვენ	VERB	ხედ	ხედვა
პირსა	NOUN	პირ-	
მამისა	NOUN	მამა	
ჩემისასა,	PRON	ჩემ-	
რომელ	PRON	რომელ-	
არს	VERB	არ-ს	ყოფა
ცათა	NOUN	ცა	
შინა.	PRT	შინა.	
Mt.18-11		Mt.18-11	
რამეთუ	CONJ	რამეთუ	
მოვიდა	VERB	ვიდ	მოსლვა
ძე	NOUN	ძე	
კაცისაჲ	NOUN	კაც-	
ცხორებად	NOUN	ცხორება	
წარწყმედულისა.	ADJ	წარწყმედულ-	
Mt.18-12		Mt.18-12	
ვითარ	CONJ	ვითარ	
ჰგონებთ	VERB	გონ	გონება
თქუენ:	PRON	თქუენ:	
კაცსა	NOUN	კაც-	
თუ	CONJ	თუ	
ვისმე	PRON	ვინმე	
ედგას	VERB	დეგ	დგმა
ასი	NUM	ას-	
ცხოვარი	NOUN	ცხოვარ-	
და	CONJ	და	
შესცთეს	VERB	ცთ	შეცთომა
ერთი	NUM	ერთ-	
მათგანი,	PRON	მათგან-	
არამე	CONJ	არამე	
დაუტევნესა	VERB	ტევ	დატევება
ოთხმეოცდაათცხრამეტნი	NUM	ოთხმეოცდაათცხრამეტ-	
იგი	PRON	იგი	
მთათა	NOUN	მთა	
ზედა,	PRT	ზედა,	
და	CONJ	და	
წარვიდეს	VERB	ვიდ	წარსლვა
და	CONJ	და	
მოიძიოს	VERB	ძი	მოძიება
შეცთომილი	ADJ	შეცთომილ-	
იგი?	PRON	იგი?	
Mt.18-13		Mt.18-13	
და	CONJ	და	
რაჟამს	ADV	რაჟამს	
პოვოს	VERB	პოვ	პოვნა
იგი,	PRON	იგი,	
ამენ	ADV	ამენ	
გეტყჳ	VERB	ტყუ	სიტყუა
თქუენ,	PRON	თქუენ,	
უფროჲს	ADV	უფროჲს	
უხაროდის	VERB	ხარ	ხარება
მის	PRON	იგი	
ზედა,	PRT	ზედა,	
ვიდრე	CONJ	ვიდრე	
ოთხმეოცდაათცხრამეტთა	NUM	ოთხმეოცდაათცხრამეტ-	
მათ,	PRON	მათ,	
რომელნი	PRON	რომელ-	
არა	PRT	არა	
შეცთომილ	ADJ	შეცთომილ-	
იყვნეს.	VERB	ყოფნა	ყოფა
Mt.18-14		Mt.18-14	
ესრეთ	ADV	ესრეთ	
არა	PRT	არა	
არს	VERB	არ-ს	ყოფა
ნებაჲ	NOUN	ნება	
მამისა	NOUN	მამა	
თქუენისა	PRON	თქუენ-	
ზეცათაჲსაჲ,	NOUN	ზეცა	
რაჲთა	CONJ	რაჲთა	
წარწყმდეს	VERB	წარწყმ	წარწყმედა
ერთი	NUM	ერთ-	
მცირეთა	ADJ	მცირე	
ამათგანი.	PRON	ესე	
Mt.18-15		Mt.18-15	
ხოლო	CONJ	ხოლო	
უკუეთუ	CONJ	უკუეთუ	
შეგცოდოს	VERB	ცოდ	შეცოდება
შენ	PRON	შენ	
ძმამან	NOUN	ძმა	
შენმან,	PRON	შენ-	
მივედ	VERB	ვედ	მისლვა
და	CONJ	და	
ამხილე	VERB	მხილ	მხილება
მას,	PRON	იგი	
რაჟამს	ADV	რაჟამს	
შენ	PRON	შენ	
და	CONJ	და	
იგი	PRON	იგი	
ხოლო	CONJ	ხოლო	
იყვნეთ	VERB	ყოფნა	ყოფა
მარტონი.	ADJ	მარტო	
უკუეთუ	CONJ	უკუეთუ	
ისმინოს	VERB	სმინ	სმენა
შენი,	PRON	შენ-	
შეიძინე	VERB	ძინ	შეძენა
ძმაჲ	NOUN	ძმა	
იგი	PRON	იგი	
შენი;	PRON	შენ-	
Mt.18-16		Mt.18-16	
ხოლო	CONJ	ხოლო	
უკუეთუ	CONJ	უკუეთუ	
არა	PRT	არა	
ისმინოს,	VERB	სმინ	სმენა
მიიყვანე	VERB	ყვან	მიყვანა
შენ	PRON	შენ	
თანა	PRT	თანა	
ერთი	NUM	ერთ-	
ანუ	PRT	ანუ	
ორი	NUM	ორ-	
სხუაჲ,	ADJ	სხუა	
რაჲთა	CONJ	რაჲთა	
პირითა	NOUN	პირ-	
ორისა	NUM	ორ-	
და	CONJ	და	
სამისა	NUM	სამ-	
მოწამისაჲთა	NOUN	მოწამე	
დაემტკიცოს	VERB	მტკიც	დამტკიცება
ყოველი	PRON	ყოველ-	
სიტყუაჲ.	NOUN	სიტყუა	
Mt.18-17		Mt.18-17	
ხოლო	CONJ	ხოლო	
უკუეთუ	CONJ	უკუეთუ	
მათიცა	PRON	მათ	
არა	PRT	არა	
ისმინოს,	VERB	სმინ	სმენა
უთხარ	VERB	თხარ	თხრობა
კრებულსა;	NOUN	კრებულ-	
ხოლო	CONJ	ხოლო	
უკუეთუ	CONJ	უკუეთუ	
კრებულისაჲცა	NOUN	კრებულ-	
არა	PRT	არა	
ისმინოს,	VERB	სმინ	სმენა
იყავნ	VERB	ყოფნა	ყოფა
იგი	PRON	იგი	
შენდა,	PRON	შენ	
ვითარცა	CONJ	ვითარცა	
მეზუერე	NOUN	მეზუერე	
და	CONJ	და	
წარმართი.	NOUN	წარმართ-	
Mt.18-18		Mt.18-18	
ამენ	ADV	ამენ	
გეტყჳ	VERB	ტყუ	სიტყუა
თქუენ:	PRON	თქუენ:	
რაოდენი	PRON	რაოდენ-	
შეჰკრათ	VERB	კარ	შეკრვა
ქუეყანასა	NOUN	ქუეყანა	
ზედა,	PRT	ზედა,	
კრულ	ADJ	კრულ-	
იყოს	VERB	ყოფნა	ყოფა
იგი	PRON	იგი	
ცათა	NOUN	ცა	
შინა	PRT	შინა	
და,	CONJ	და,	
რაოდენი	PRON	რაოდენ-	
განჰჴსნათ	VERB	ჴსენ	განჴსნა
ქუეყანასა	NOUN	ქუეყანა	
ზედა,	PRT	ზედა,	
ჴსნილ	ADJ	ჴსნილ-	
იყოს	VERB	ყოფნა	ყოფა
იგი	PRON	იგი	
ცათა	NOUN	ცა	
შინა.	PRT	შინა.	
Mt.18-19		Mt.18-19	
კუალად	ADV	კუალად	
ამენ	ADV	ამენ	
გეტყჳ	VERB	ტყუ	სიტყუა
თქუენ:	PRON	თქუენ:	
უკუეთუ	CONJ	უკუეთუ	
ორნი	NUM	ორ-	
თქუენგანნი	PRON	თქუენგან-	
შეითქუნენ	VERB	თქუ	შეთქუმა
ქუეყანასა	NOUN	ქუეყანა	
ზედა	PRT	ზედა	
ყოვლისათჳსვე	PRON	ყოველ-	
საქმისა,	NOUN	საქმე	
რომელიცა	PRON	რომელ-	
ითხოონ,	VERB	თხო	თხოვნა
ეყოს	VERB	ყოფნა	ყოფა
მათ	PRON	მათ	
მამისა	NOUN	მამა	
ჩემისაგან	PRON	ჩემ-	
ზეცათაჲსა.	NOUN	ზეცა	
Mt.18-20		Mt.18-20	
რამეთუ	CONJ	რამეთუ	
სადაცა	CONJ	სადაცა	
იყვნენ	VERB	ყოფნა	ყოფა
ორნი	NUM	ორ-	
გინა	PRT	გინა	
სამნი	NUM	სამ-	
შეკრებულ	ADJ	შეკრებულ-	
სახელისა	NOUN	სახელ-	
ჩემისათჳს,	PRON	ჩემ-	
მუნ	ADV	მუნ	
ვარ	VERB	ყოფნა	ყოფა
მე	PRON	მე	
შორის	ADV	შორის	
მათსა.	PRON	მათ	
Mt.18-21		Mt.18-21	
მაშინ	ADV	მაშინ	
მოუჴდა	VERB	ჴდ	მოჴდომა
მას	PRON	იგი	
პეტრე	NOUN	პეტრე	
და	CONJ	და	
ჰრქუა:	VERB	რქუ	რქუმა
უფალო,	NOUN	უფალ-	
რაოდენგზის	ADV	რაოდენგზის	
შემცოდოს	VERB	ცოდ	შეცოდება
ძმამან	NOUN	ძმა	
ჩემმან,	PRON	ჩემ-	
და	CONJ	და	
მიუტეო	VERB	ტევ	მიტევება
მას?	PRON	იგი	
ვიდრე	CONJ	ვიდრე	
შჳდგზისამდეა?	NOUN	შჳდგზის-	
Mt.18-22		Mt.18-22	
ჰრქუა	VERB	რქუ	რქუმა
მას	PRON	იგი	
იესუ:	NOUN	იესუ:	
არა	PRT	არა	
გეტყჳ	VERB	ტყუ	სიტყუა
შენ	PRON	შენ	
ვიდრე	CONJ	ვიდრე	
შჳდგზისამდე,	NOUN	შჳდგზის-	
არამედ	CONJ	არამედ	
ვიდრე	CONJ	ვიდრე	
სამეოცდაათ	NUM	სამეოცდაათ-	
შჳდგზის.	NOUN	შჳდგზის-	
Mt.18-23		Mt.18-23	
ამისთჳს	PRON	ესე	
ემსგავსა	VERB	მსგავ	მსგავსება
სასუფეველი	NOUN	სასუფეველ-	
ცათაჲ	NOUN	ცა	
კაცსა	NOUN	კაც-	
მეუფესა,	NOUN	მეუფე	
რომელმან	PRON	რომელ-	
ინება	VERB	ნებ	ნებება
სიტყჳსა	NOUN	სიტყუა	
განგებაჲ	NOUN	განგება	
მონათა	NOUN	მონა	
თჳსთა	PRON	თჳს-	
თანა.	PRT	თანა.	
Mt.18-24		Mt.18-24	
და	CONJ	და	
ვითარცა	CONJ	ვითარცა	
იწყო	VERB	წყ	წყება
განგებად,	NOUN	განგება	
წარმოუდგინეს	VERB	დგინ	წარმოდგომა
მას	PRON	იგი	
ერთი	NUM	ერთ-	
თანამდები	NOUN	თანამდებ-	
ბევრისა	ADJ	ბევრ-	
ტალანტისაჲ.	NOUN	ტალანტ-	
Mt.18-25		Mt.18-25	
და	CONJ	და	
ვითარ	CONJ	ვითარ	
არარაჲ	PRON	არარა	
აქუნდა	VERB	ქუ	ქუან-
მას,	PRON	იგი	
რაჲმცა	CONJ	რაჲმცა	
მისცა,	VERB	ც	მიცემა
უბრძანა	VERB	ბრძან	ბრძანება
უფალმან	NOUN	უფალ-	
მისმან	PRON	მის-	
განსყიდაჲ	NOUN	განსყიდა	
ცოლისა	NOUN	ცოლ-	
მისისაჲ	PRON	მის-	
და	CONJ	და	
შვილთა	NOUN	შვილ-	
მისთაჲ	PRON	მის-	
და	CONJ	და	
რაჲცა	CONJ	რაჲცა	
აქუნდა	VERB	ქუ	ქუან-
მას,	PRON	იგი	
და	CONJ	და	
გარდაჴდად	NOUN	გარდაჴდა	
იგი.	PRON	იგი.	
Mt.18-26		Mt.18-26	
დავარდა	VERB	ვარდ	დავარდნა
უკუე	PRT	უკუე	
მონაჲ	NOUN	მონა	
იგი,	PRON	იგი,	
თაყუანის-სცემდა	VERB	თაყუანის-ცემა	თაყუანის-ცემა
მას	PRON	იგი	
და	CONJ	და	
ეტყოდა:	VERB	ტყუ	სიტყუა
სულგრძელ	ADJ	სულგრძელ-	
იქმენ	VERB	ქმენ	ქმნა
ჩემ	PRON	მე	
ზედა,	PRT	ზედა,	
უფალო,	NOUN	უფალ-	
და	CONJ	და	
ყოველივე	PRON	ყოველივე	
მიგცე	VERB	ც	მიცემა
შენ.	PRON	შენ.	
Mt.18-27		Mt.18-27	
შეეწყალა	VERB	წყალ	შეწყალება
უფალსა	NOUN	უფალ-	
მისსა	PRON	მის-	
მონაჲ	NOUN	მონა	
იგი	PRON	იგი	
და	CONJ	და	
განუტევა	VERB	ტევ	განტევება
იგი	PRON	იგი	
და	CONJ	და	
თანანადებიცა	NOUN	თანანადებ-	
იგი	PRON	იგი	
მიუტევა	VERB	ტევ	მიტევება
მას.	PRON	იგი	
Mt.18-28		Mt.18-28	
და	CONJ	და	
ვითარცა	CONJ	ვითარცა	
გამოვიდა	VERB	ვიდ	გამოსლვა
მიერ	PRT	მიერ	
მონაჲ	NOUN	მონა	
იგი,	PRON	იგი,	
პოვა	VERB	პოვ	პოვნა
ერთი	NUM	ერთ-	
მის	PRON	იგი	
თანამონაჲ,	NOUN	თანამონა	
რომელსა	PRON	რომელ-	
თანაედვა	VERB	დ	თანადება
მისი	PRON	იგი	
ასი	NUM	ას-	
დრაჰკანი,	NOUN	დრაჰკან-	
შეიპყრა	VERB	პყარ	შეპყრობა
იგი	PRON	იგი	
და	CONJ	და	
შეაშთობდა	VERB	შთ	შეშთობა
მას	PRON	იგი	
და	CONJ	და	
ეტყოდა:	VERB	ტყუ	სიტყუა
მომეც,	VERB	ც	მოცემა
რაჲცა-იგი	CONJ	რაჲცა-იგი	
თანაგაც.	VERB	ც	თანა-დება
Mt.18-29		Mt.18-29	
შეუვრდა	VERB	ვრდ	შევრდომა
მას	PRON	იგი	
მოყუასი	NOUN	მოყუას-	
იგი	PRON	იგი	
მისი,	PRON	მის-	
და	CONJ	და	
ევედრებოდა	VERB	ვედრ	ვედრება
მას	PRON	იგი	
და	CONJ	და	
ეტყოდა:	VERB	ტყუ	სიტყუა
სულგრძელ	ADJ	სულგრძელ-	
იქმენ	VERB	ქმენ	ქმნა
ჩემ	PRON	მე	
ზედა,	PRT	ზედა,	
და	CONJ	და	
ყოველივე	PRON	ყოველივე	
მიგცე	VERB	ც	მიცემა
შენ.	PRON	შენ.	
Mt.18-30		Mt.18-30	
ხოლო	CONJ	ხოლო	
მან	PRON	იგი	
არა	PRT	არა	
ისმინა	VERB	სმინ	სმენა
მისი,	PRON	იგი	
არამედ	CONJ	არამედ	
წარვიდა	VERB	ვიდ	წარსლვა
და	CONJ	და	
შეაგდო	VERB	გდ	შეგდება
იგი	PRON	იგი	
საპყრობილესა,	NOUN	საპყრობილე	
ვიდრემდე	CONJ	ვიდრემდე	
მისცეს	VERB	ც	მიცემა
მას	PRON	იგი	
თანანადები	NOUN	თანანადებ-	
იგი.	PRON	იგი.	
Mt.18-31		Mt.18-31	
იხილეს	VERB	ხილ	ხილვა
რაჲ	PRT	რა	
მის	PRON	იგი	
თანამონათა	NOUN	თანამონა	
მათ	PRON	მათ	
საქმე	NOUN	საქმე	
ესე,	PRON	ესე,	
შეწუხნეს	VERB	წუხ	შეწუხება
ფრიად	ADV	ფრიად	
და	CONJ	და	
მივიდეს	VERB	ვიდ	მისლვა
და	CONJ	და	
აუწყეს	VERB	უწყ	უწყება
უფალსა	NOUN	უფალ-	
მათსა	PRON	მათ-	
ყოველივე	PRON	ყოველივე	
იგი,	PRON	იგი,	
რაჲცა	CONJ	რაჲცა	
იქმნა.	VERB	ქმენ	ქმნა
Mt.18-32		Mt.18-32	
მაშინ	ADV	მაშინ	
მოუწოდა	VERB	წოდ	მოწოდება
მას	PRON	იგი	
უფალმან	NOUN	უფალ-	
მისმან	PRON	მის-	
და	CONJ	და	
ჰრქუა	VERB	რქუ	რქუმა
მას:	PRON	იგი	
მონაო	NOUN	მონა	
ბოროტო,	ADJ	ბოროტ-	
ყოველივე	PRON	ყოველივე	
თანანადები	NOUN	თანანადებ-	
შენი	PRON	შენ-	
მიგიტევე	VERB	ტევ	მიტევება
შენ,	PRON	შენ,	
რამეთუ	CONJ	რამეთუ	
მევედრებოდე	VERB	ვედრ	ვედრება
მე.	PRON	მე.	
Mt.18-33		Mt.18-33	
არა	PRT	არა	
ჯერ-იყო	VERB	ჯერ-ყოფა	ჯერ-ყოფა
შენდაცა,	PRON	შენ	
რაჲთამცა	CONJ	რაჲთამცა	
შეიწყალე	VERB	წყალ	შეწყალება
შენ	PRON	შენ	
თანამონაჲ	NOUN	თანამონა	
იგი,	PRON	იგი,	
ვითარცა	CONJ	ვითარცა	
მე	PRON	მე	
შენ	PRON	შენ	
შეგიწყალე?	VERB	წყალ	შეწყალება
Mt.18-34		Mt.18-34	
და	CONJ	და	
განურისხნა	VERB	რისხ	განრისხება
უფალი	NOUN	უფალ-	
იგი	PRON	იგი	
მისი	PRON	მის-	
და	CONJ	და	
მისცა	VERB	ც	მიცემა
იგი	PRON	იგი	
ჴელთა	NOUN	ჴელ-	
მტანჯველთასა,	NOUN	მტანჯველ-	
ვიდრემდის	CONJ	ვიდრემდის	
გარდაიჴადოს	VERB	ჴად	გარდაჴდა
ყოველი	PRON	ყოველ-	
იგი	PRON	იგი	
თანანადები	NOUN	თანანადებ-	
მისი.	PRON	მის-	
Mt.18-35		Mt.18-35	
ეგრეთცა	ADV	ეგრეთცა	
მამამან	NOUN	მამა	
ჩემმან	PRON	ჩემ-	
ზეცათამან	PRON	ზეცა	
გიყოს	VERB	ყოფა	ყოფა
თქუენ,	PRON	თქუენ,	
უკუეთუ	CONJ	უკუეთუ	
არა	PRT	არა	
მიუტევნეთ	VERB	ტევ	მიტევება
კაცად-კაცადმან	PRON	კაცად-კაცად-	
ძმასა	NOUN	ძმა	
თჳსსა	PRON	თჳს-	
ყოვლითა	PRON	ყოველ-	
გულითა	NOUN	გულ-	
თქუენითა	PRON	თქუენ-	
ცთომანი	NOUN	ცთომა	
მათნი.	PRON	მათ-	
Mt.19-1		Mt.19-1	
და	CONJ	და	
იყო,	VERB	ყოფა	ყოფა
ვითარცა	CONJ	ვითარცა	
დაასრულნა		სრულ	
იესუ	NOUN	იესუ	
სიტყუანი	NOUN	სიტყუა	
ესე,	PRON	ესე,	
წარვიდა	VERB	ვიდ	წარსლვა
გალილეაჲთ	NOUN	გალილეა	
და	CONJ	და	
მივიდა	VERB	ვიდ	მისლვა
საზღვართა	NOUN	საზღვარ-	
ჰურიასტანისათა,	NOUN	ჰურიასტან-	
წიაღ	ADV	წიაღ	
იორდანესა.	NOUN	იორდანე	
Mt.19-2		Mt.19-2	
და	CONJ	და	
მისდევდა	VERB	დევ	მიდევნება
მას	PRON	იგი	
ერი	NOUN	ერ-	
მრავალი,	ADJ	მრავალ-	
და	CONJ	და	
განკურნნა	VERB	კურნ	განკურნება
იგინი	PRON	იგი	
მუნ.	ADV	მუნ.	
Mt.19-3		Mt.19-3	
მაშინ	ADV	მაშინ	
მოუჴდეს	VERB	ჴდ	მოჴდომა
მას	PRON	იგი	
ფარისეველნი,	NOUN	ფარისეველ-	
გამოსცდიდეს	VERB	ცდ	გამოცდა
მას	PRON	იგი	
და	CONJ	და	
ეტყოდეს:	VERB	ტყუ	სიტყუა
უკუეთუ	CONJ	უკუეთუ	
ჯერ-არს	VERB	ჯერ-არ-ს	ჯერ-ყოფა
კაცისა	NOUN	კაც-	
განტევებაჲ	NOUN	განტევება	
ცოლისა	NOUN	ცოლ-	
თჳსისაჲ	PRON	თჳს-	
ყოვლისათჳს	PRON	ყოველ-	
ბრალისა?	NOUN	ბრალ-	
Mt.19-4		Mt.19-4	
ხოლო	CONJ	ხოლო	
იესუ	NOUN	იესუ	
მიუგო	VERB	გ	მიგება
და	CONJ	და	
ჰრქუა	VERB	რქუ	რქუმა
მათ:	PRON	მათ:	
არა	PRT	არა	
აღმოგიკითხავსა,	VERB	კითხ	აღმოკითხვა
რამეთუ	CONJ	რამეთუ	
რომელმან	PRON	რომელ-	
დაჰბადა	VERB	ბად	დაბადება
დასაბამსა,	NOUN	დასაბამ-	
მამაკაცად	NOUN	მამაკაც-	
და	CONJ	და	
დედაკაცად	NOUN	დედაკაც-	
შექმნნა	VERB	ქმენ	შექმნა
იგინი?	PRON	იგი	
Mt.19-5		Mt.19-5	
და	CONJ	და	
თქუა:	VERB	თქუ	თქუმა
ამისთჳს	PRON	ესე	
დაუტეოს	VERB	ტ	დატევება
კაცმან	NOUN	კაც-	
მამამან	NOUN	მამა	
თჳსი	PRON	თჳს-	
და	CONJ	და	
დედაჲ	NOUN	დედა	
თჳსი	PRON	თჳს-	
და	CONJ	და	
შეეყოს	VERB	ყო	შეყოფა
ცოლსა	NOUN	ცოლ-	
თჳსსა,	PRON	თჳს-	
და	CONJ	და	
იყვნენ	VERB	ყოფნა	ყოფა
ორნივე	NUM	ორ-	
იგი	PRON	იგი	
ერთ	NUM	ერთ-	
ჴორც.	NOUN	ჴორც-	
Mt.19-6		Mt.19-6	
ვითარმედ	CONJ	ვითარმედ	
არღარა	PRT	არღარა	
არიან	VERB	ყოფნა	ყოფა
ორ,	NUM	ორ-	
არამედ	CONJ	არამედ	
ერთ	NUM	ერთ-	
ჴორც,	NOUN	ჴორც-	
აწ	ADV	აწ	
უკუე	PRT	უკუე	
რომელნი-იგი	PRON	რომელ-იგი	
ღმერთმან	NOUN	ღმერთ-	
შეაუღლნა,	VERB	უღლ	შეუღლება
კაცი	NOUN	კაც-	
ნუ	PRT	ნუ	
განაშორებს.	VERB	შორ	განშორება
Mt.19-7		Mt.19-7	
ხოლო	CONJ	ხოლო	
მათ	PRON	მათ	
ჰრქუეს	VERB	რქუ	რქუმა
მას:	PRON	იგი	
რაჲსათჳს	PRT	რაჲსათჳს	
უკუე	PRT	უკუე	
მოსე	NOUN	მოსე	
ამცნო	VERB	მცენ	მცნება
წიგნი	NOUN	წიგნ-	
განტევებისაჲ	NOUN	განტევება	
მიცემად	NOUN	მიცემა	
და	CONJ	და	
განტევებად?	NOUN	განტევება	
Mt.19-8		Mt.19-8	
მიუგო	VERB	გ	მიგება
იესუ	NOUN	იესუ	
და	CONJ	და	
ჰრქუა	VERB	რქუ	რქუმა
მათ,	PRON	მათ,	
რამეთუ:	CONJ	რამეთუ:	
მოსე	NOUN	მოსე	
გულფიცხელობისა	NOUN	გულფიცხელ-	
თქუენისათჳს	PRON	თქუენ-	
გიბრძანა	VERB	ბრძან	ბრძანება
განტევებაჲ	NOUN	განტევება	
ცოლთა	NOUN	ცოლ-	
თქუენთაჲ,	PRON	თქუენ-	
ხოლო	CONJ	ხოლო	
დასაბამსა	NOUN	დასაბამ-	
არა	PRT	არა	
ეგრე	ADV	ეგრე	
იყო.	VERB	ყოფნა	ყოფა
Mt.19-9		Mt.19-9	
ხოლო	CONJ	ხოლო	
მე	PRON	მე	
გეტყჳ	VERB	ტყუ	სიტყუა
თქუენ,	PRON	თქუენ,	
რამეთუ:	CONJ	რამეთუ:	
რომელმან	PRON	რომელ-	
განუტეოს	VERB	ტ	განტევება
ცოლი	NOUN	ცოლ-	
თჳსი	PRON	თჳს-	
თჳნიერ	PRT	თჳნიერ	
სიძვისა	NOUN	სიძვა	
და	CONJ	და	
სხუაჲ	ADJ	სხუა	
შეირთოს,	VERB	რთ	შერთვა
იმრუშებს;	VERB	მრუშ	მრუშება
და	CONJ	და	
რომელმან	PRON	რომელ-	
განტევებული	ADJ	განტევებულ-	
შეირთოს,	VERB	რთ	შერთვა
იგიცა	PRON	იგი	
იმრუშებს.	VERB	მრუშ	მრუშება
Mt.19-10		Mt.19-10	
ჰრქუეს	VERB	რქუ	რქუმა
მას	PRON	იგი	
მოწაფეთა	NOUN	მოწაფე	
მისთა:	PRON	მის-	
უკუეთუ	CONJ	უკუეთუ	
ესეოდენი	PRON	ესეოდენ-	
ბრალი	NOUN	ბრალ-	
არს	VERB	არ-ს	ყოფა
კაცისაჲ	NOUN	კაც-	
დედაკაცისა	NOUN	დედაკაც-	
თანა,	PRT	თანა,	
არა	PRT	არა	
შეჰგავს	VERB	გავ	შეგვანება
ქორწინებაჲ.	NOUN	ქორწინება	
Mt.19-11		Mt.19-11	
ჰრქუა	VERB	რქუ	რქუმა
მათ	PRON	მათ	
იესუ:	NOUN	იესუ	
არა	PRT	არა	
ყოველთა	PRON	ყოველ-	
დაიტიონ	VERB	ტ	დატევა
სიტყუაჲ	NOUN	სიტყუა	
ეგე,	PRON	ეგე,	
არამედ	CONJ	არამედ	
რომელთადა	PRON	რომელ-	
მიცემულ	NOUN	მიცემულ-	
არს.	VERB	არ-ს	ყოფა
Mt.19-12		Mt.19-12	
რამეთუ	CONJ	რამეთუ	
არიან	VERB	ყოფნა	ყოფა
საჭურისნი,	NOUN	საჭურის-	
რომელნი	PRON	რომელ-	
მუცლითგან	NOUN	მუცელ-	
დედისა	NOUN	დედა	
